spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Reserva 3 Year,3 Years,,,75.0,37.5,,American oak ex-bourbon,,"Dry, creamy; tropical fruit, vanilla, charcoal-filtered.",https://angostura.com/brands/rums/premium-rums/angostura-reserva/,2026-06-26,https://angostura.com/wp-content/uploads/2026/01/ANGOSTURA-3yo_424-x-766.jpg,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; White; White Oak,,,,80.0,40.0,,,,,https://drinkhacker.com/2016/02/11/review-angostura-white-oak-5-years-old-7-years-old-1919-1824-rums/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2016/01/ango.jpg,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; 5 Year,5 Years,,,80.0,40.0,,Oak ex-bourbon,,,https://drinkhacker.com/2016/02/11/review-angostura-white-oak-5-years-old-7-years-old-1919-1824-rums/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2016/01/ango.jpg,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; 7 Year,7 Years,,,80.0,40.0,,Oak,,"Honeyed, citrus peel, chocolate; peppery finish.",https://distiller.com/articles/house-of-angostura,2026-06-07,NULL,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; 1919,,,,80.0,40.0,,Charred American oak,,"Roasted nuts, creamy vanilla, brown spices; 5-10yr blend.",https://distiller.com/articles/house-of-angostura,2026-06-07,NULL,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 1824 12 Year,12 Years,,,80.0,40.0,,American oak,,"Smoky molasses, toffee, wood spice.",https://www.excellencerhum.com/en/,2026-06-07,NULL,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 1787 15 Year,15 Years,,,80.0,40.0,,Oak,,"Estery; prune, toffee, wood spice, dark chocolate.",https://www.thewhiskyexchange.com/p/38876/; https://www.rum-x.com/rums/618/,2026-06-07,NULL,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Single Cask; Single Barrel Reserve,5 Years,,,80.0,40.0,,Single bourbon oak cask,,"Caramel, spice, chocolate, honey, vanilla.",https://angostura.com/brands/rums/standard-rums/angostura-single-barrel-reserve/,2026-06-26,https://angostura.com/wp-content/uploads/2021/12/Ang-Single-barrel-Bottle-332x1024.jpg,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Bourbon Cask; No.1 Cask Collection 1st Edition,8 Years,,1st Edition,80.0,40.0,,American oak,First-fill ex-bourbon,"Limited 9,600 bottles (2013).",https://www.thewhiskyexchange.com/p/27469/,2026-06-07,NULL,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; No.1 Cask Collection 2nd Edition French Oak,16 Years,,2nd Edition,80.0,40.0,,American oak,Refill French oak,"15,030 bottles (2015).",https://www.thewhiskyexchange.com/p/30462/,2026-06-07,NULL,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Sherry Cask; No.1 Cask Collection 3rd Edition Oloroso,16 Years,,3rd Edition,80.0,40.0,,American oak,First-fill Oloroso Sherry,"16,200 bottles (2018).",https://angostura.com/brands/limited-edition-products/no-1-oloroso-sherry-cask/,2026-06-26,https://angostura.com/wp-content/uploads/2022/06/no1olorososherrybottleimage.jpg,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Zenith,,,,,,,,,Ultra-premium; blend incl. Caroni 1975 stocks; 195 decanters.,https://robbreport.com/food-drink/spirits/angostura-zenith-ultra-premium-rum-1234727789/,2026-06-26,https://robbreport.com/wp-content/uploads/2022/07/angostura_rum_caroniblend.jpg,rum_trinidad
Rum,Angostura,"Laventille, Trinidad",Angostura,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Legacy,,2012,,,,,,,Ultra-premium for Trinidad's 50th independence; 20 bottles.,https://en.wikipedia.org/wiki/House_of_Angostura,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Angostura_1919.JPG/960px-Angostura_1919.JPG,rum_trinidad
