spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,White Peak Distillery,"Ambergate, England",White Peak Rum,own_make,,FALSE,FALSE,Pot Still Rum; Aged; Cask-Aged Derbyshire,,,,100,50,Molasses,Ex-bourbon + virgin oak (char 4) + ex-red wine STR (vatting),,"Cream soda, tinned peaches, candied ginger; cinnamon buns, vanilla cheesecake, butterscotch, banana",https://www.whitepeakdistillery.co.uk/product/white-peak-rum/,2026-06-08,https://www.whitepeakdistillery.co.uk/wp-content/uploads/2021/06/White-Peak-Distillery-Cask-Aged-Rum_Packshot_White_1920px.png,rum_united_kingdom
Rum,Penderyn Distillery,"Penderyn, Wales",Siddiqui,sourced,Siddiqui Rum,TRUE,FALSE,Column Still Rum; Aged; Brown Rum,,,,80,40,,American oak,,"Whisky-like smoky/oaky; smooth, dried fruits",https://www.penderyn.wales/product/siddiqui-brown-rum/; https://thefatrumpirate.com/siddiqui-brown-rum,2026-06-08,https://www.penderyn.wales/wp-content/uploads/2021/03/Penderyn-Siddiqui-Brown-Rum.jpg,rum_united_kingdom
Rum,Penderyn Distillery,"Penderyn, Wales",Siddiqui,sourced,Siddiqui Rum,TRUE,FALSE,Column Still Rum; White Rum,,,,80,40,,,,"Sweet, smooth",https://www.penderyn.wales/product/siddiqui-white-rum/,2026-06-08,https://www.penderyn.wales/wp-content/uploads/2021/03/Penderyn-Siddiqui-White-Rum.jpg,rum_united_kingdom
Rum,English Spirit Distillery,"Great Yeldham, England",English Spirit,own_make,,FALSE,FALSE,Pot Still Rum; Aged; Old Salt,,,,84,42,Sugarcane molasses,English oak,,"Treacle, raisins; cracked caramel, Christmas cake, banoffee",https://englishspirit.uk/products/old-salt-rum-50cl,2026-06-08,https://englishspirit.uk/cdn/shop/files/Old_Salt_Rum_1.jpg,rum_united_kingdom
Rum,English Spirit Distillery,"Great Yeldham, England",English Spirit,own_make,,FALSE,FALSE,Pot Still Rum; Aged; Old Salt 5 Year,5 Years,,,84,42,Sugarcane molasses,Ex-French red-wine oak,,"Spiced oak, cinnamon, vanilla, tobacco, dark chocolate, raisins",https://englishspirit.uk/products/5-year-old-old-salt-rum,2026-06-26,http://englishspirit.uk/cdn/shop/files/Old_Salt_Rum_1.jpg,rum_united_kingdom
Rum,English Spirit Distillery,"Great Yeldham, England",English Spirit,own_make,,FALSE,FALSE,Pot Still Rum; White; St Piran's Cornish,,,,84,42,Sugarcane molasses,,,"Juicy raisins, cracked caramel, coconut cream",https://englishspirit.uk/products/cornish-rum,2026-06-26,http://englishspirit.uk/cdn/shop/files/St_Pirians.jpg,rum_united_kingdom
Rum,English Spirit Distillery,"Great Yeldham, England",English Spirit,own_make,,FALSE,FALSE,Pot Still Rum; Spiced; English Spiced,,,,84,42,Sugarcane molasses,,,,https://englishspirit.uk/products/english-spiced-rum,2026-06-26,http://englishspirit.uk/cdn/shop/files/English_Spiced_Rum_1_3b85371b-9fe5-4e1a-bad0-9582daa8b65a.jpg,rum_united_kingdom
Rum,DropWorks Distillery,"Worksop, England",DropWorks,own_make,,FALSE,FALSE,Pot Still Rum; White; Clear Drop,,,,80,40,Molasses,,,"Vanilla ice cream, blueberries, green apples, walnuts",https://dropworks.co.uk/shop/clear-drop-rum/,2026-06-08,https://dropworks.co.uk/wp-content/uploads/2023/03/DropWorks-Clear-Drop-Rum.png,rum_united_kingdom
Rum,DropWorks Distillery,"Worksop, England",DropWorks,own_make,,FALSE,FALSE,Blended Rum; Dark Drop,,,,80,40,Molasses (two marques),,,"Blackcurrant, liquorice, star anise",https://dropworks.co.uk/shop/dark-drop-rum/,2026-06-08,https://dropworks.co.uk/wp-content/uploads/2023/10/DropWorks-Dark-Drop-Rum-2.png,rum_united_kingdom
Rum,DropWorks Distillery,"Worksop, England",DropWorks,own_make,,FALSE,FALSE,Pot Still Rum; Spiced; Spice Drop,,,,80,40,Molasses,,,"Spiced apple pie, ripe red apple, honeycomb, ginger",https://dropworks.co.uk/shop/spice-drop-rum/,2026-06-26,https://dropworks.co.uk/wp-content/uploads/2023/07/DropWorks-Spice-Drop-Rum.png,rum_united_kingdom
Rum,DropWorks Distillery,"Worksop, England",DropWorks,own_make,,FALSE,FALSE,Pot Still Rum; Heavy Ester; Funk Drop,,,,126,63,Molasses (double retort),,,"Toasted pineapple, orange marmalade, guava, oily salinity",https://dropworks.co.uk/shop/funk-drop-rum/,2026-06-26,https://dropworks.co.uk/wp-content/uploads/2023/06/DropWorks-Funk-Drop-Rum.png,rum_united_kingdom
Rum,DropWorks Distillery,"Worksop, England",DropWorks,own_make,,FALSE,FALSE,Pot Still Rum; Aged; Barrel Drop,,,,80,40,Molasses,American + Portuguese oak,,"Rum & raisin ice cream, jammy dates, vanilla, cinder toffee, winter spice",https://dropworks.co.uk/shop/barrel-drop-rum/,2026-06-26,https://dropworks.co.uk/wp-content/uploads/2024/09/DropWorks-Barrel-Drop-Rum.png,rum_united_kingdom
Rum,DropWorks Distillery,"Worksop, England",DropWorks,own_make,,FALSE,FALSE,Pot Still Rum; Single Cask; Distiller's Drop #002 Bordeaux,,,#002,101.4,50.7,Molasses,Bordeaux red-wine casks (French oak),,"Wild strawberries, stewed plums, black pepper, creme brulee (28-month maturation, 900 bottles)",https://dropworks.co.uk/shop/distillers-drop-002/,2026-06-26,https://dropworks.co.uk/wp-content/uploads/2026/03/SQUARE-15.png,rum_united_kingdom
Rum,Two Drifters Distillery,"Exeter, England",Two Drifters,own_make,,FALSE,FALSE,Blended Rum; Aged; Signature,,,,80,40,Molasses,Ex-Madeira French oak,,,https://twodriftersrum.com/products/signature-rum; https://twodriftersrum.com/pages/the-distillery,2026-06-28,NULL,rum_united_kingdom
Rum,Two Drifters Distillery,"Exeter, England",Two Drifters,own_make,,FALSE,FALSE,Blended Rum; White; Pure White,,,,80,40,Molasses,,,,https://twodriftersrum.com/pages/the-distillery,2026-06-28,NULL,rum_united_kingdom
Rum,Circumstance Distillery,"Bristol, England",Circumstantial Cane,own_make,,FALSE,FALSE,Blended Rum; Batch 1,,,Batch 1,90,45,Molasses,Charred oak (brief rest),,,https://circumstancedistillery.com/shop/circumstantial-rum.html; https://www.masterofmalt.com/rum/circumstance/circumstantial-cane-rum/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/5338_source_1758883878.jpg,rum_united_kingdom
Rum,Circumstance Distillery,"Bristol, England",Circumstantial Cane,own_make,,FALSE,FALSE,Blended Rum; Batch 2,,,Batch 2,89.2,44.6,Molasses,,,,https://www.masterofmalt.com/rum/circumstance/circumstantial-cane-rum/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/5338_source_1758883878.jpg,rum_united_kingdom
Rum,Spirit of Wales Distillery,"Newport, Wales",Dragon's Breath,own_make,,FALSE,FALSE,Column Still Rum; Spiced; Welsh Spiced,,,,90,45,Molasses,Ex-bourbon contact,,,https://www.spiritofwales.com/about-us/; https://www.masterofmalt.com/distilleries/spirit-of-wales/,2026-06-08,,rum_united_kingdom
Rum,J. Gow Rum (VS Distillers),"Lamb Holm, Orkney, Scotland",J. Gow,own_make,,FALSE,FALSE,Pot Still Rum; Spiced,,,,80,40,Molasses,,,,https://jgowrum.com/rum/; https://jgowrum.com/about/,2026-06-26,https://jgowrum.com/wp-content/uploads/2024/10/all-4-bottles-inarow.jpg,rum_united_kingdom
Rum,J. Gow Rum (VS Distillers),"Lamb Holm, Orkney, Scotland",J. Gow,own_make,,FALSE,FALSE,Pot Still Rum; Cask Strength; Hidden Depths Vol.1,3 Years,,,106.4,53.2,Molasses,,,,https://jgowrum.com/rum/,2026-06-26,https://jgowrum.com/wp-content/uploads/2024/10/all-4-bottles-inarow.jpg,rum_united_kingdom
Rum,Ninefold Distillery,"Dormont, Scotland",Ninefold,own_make,,FALSE,FALSE,Pot Still Rum; Pure Single,,,,92,46,Molasses,,,,https://www.ninefolddistillery.com/lineup; https://www.masterofmalt.com/blog/post/ninefold-rum-scotlands-scratch-built-spirit/,2026-06-26,https://www.masterofmalt.com/blog/wp-content/uploads/2025/11/Ninefold-Cask-Aged-Rum.jpg,rum_united_kingdom
Rum,Ninefold Distillery,"Dormont, Scotland",Ninefold,own_make,,FALSE,FALSE,Pot Still Rum; Spiced,,,,80,40,Molasses,,,,https://www.ninefolddistillery.com/lineup,2026-06-08,,rum_united_kingdom
Rum,Matugga Distillers,"Livingston, Scotland",Matugga,own_make,,FALSE,FALSE,Column Still Rum; Gold; Golden Rum,,,,84,42,East African molasses,,,,https://www.matuggarum.com/,2026-06-28,NULL,rum_united_kingdom
