spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,FALSE,Pot Still Rum; Cask Strength; Texas Rum,NAS,,,114,57.0,100% molasses,NULL,,https://www.andalusiawhiskey.com,2026-05-29,NULL,rum_united_states
Rum,Wiggly Bridge Distillery,"York, ME",Wiggly Bridge,own_make,NULL,FALSE,FALSE,Pot Still Rum; Aged; Small Barrel,NAS,,,,,Molasses,small barrel,,https://wigglybridgedistillery.com/spirits/small-barrel-rum/,2026-05-30,NULL,rum_united_states
Rum,Wiggly Bridge Distillery,"York, ME",Wiggly Bridge,own_make,NULL,FALSE,FALSE,Pot Still Rum; White; White Rum,NAS,,,,,Molasses,unaged,,https://wigglybridgedistillery.com/spirits/white-rum/,2026-05-30,NULL,rum_united_states
Rum,Boston Harbor Distillery,"Boston, MA",Lawley's,own_make,NULL,FALSE,FALSE,Pot Still Rum; Aged; Lawley's Small Batch,NAS,,,,,Molasses,new American oak,,https://bostonharbordistillery.com,2026-06-28,NULL,rum_united_states
Rum,Privateer Rum,"Ipswich, MA",Privateer,own_make,,FALSE,FALSE,Pot Still Rum; White; New England White,,,,80,40,Cane juice crystals + brown sugar,,,https://privateerrum.com/craft/new-england-white-rum/,2026-06-08,https://privateerrum.com/wp-content/uploads/2019/09/Privateer_WHt_750-309x400.jpg,rum_united_states
Rum,Privateer Rum,"Ipswich, MA",Privateer,own_make,,FALSE,FALSE,Pot Still Rum; Aged; True American Amber,,,,,,Molasses,New American oak / used rum / used bourbon / used brandy,,https://distiller.com/spirits/privateer-true-american-amber-rum,2026-06-08,,rum_united_states
Rum,Privateer Rum,"Ipswich, MA",Privateer,own_make,,FALSE,FALSE,Pot Still Rum; Aged; New England Reserve,,,,90,45,Molasses,American oak,,https://privateerrum.com/spirit/new-england-reserve-rum/,2026-06-08,https://privateerrum.com/wp-content/uploads/2019/09/Privateer_NER_750-309x400.jpg,rum_united_states
Rum,Privateer Rum,"Ipswich, MA",Privateer,own_make,,FALSE,FALSE,Pot Still Rum; Aged; True American Bottled in Bond,4 Years,,,100,50,100% Grade A molasses,New American oak,,https://privateerrum.com/spirit/true-american-bottled-bond/,2026-06-08,https://privateerrum.com/wp-content/uploads/2026/02/Privateer_BiB.jpg,rum_united_states
Rum,Privateer Rum,"Ipswich, MA",Privateer,own_make,,FALSE,FALSE,Pot Still Rum; Cask Strength; Navy Yard 4 Year,4 Years,,,,,100% Grade A molasses,Single charred new American oak,,https://privateerrum.com/spirit/navy-yard-4-year-2/,2026-06-08,https://privateerrum.com/wp-content/uploads/2026/02/Privateer_NY.jpg,rum_united_states
Rum,Privateer Rum,"Ipswich, MA",Privateer,own_make,,FALSE,FALSE,Pot Still Rum; Cask Strength; Queen's Share 4 Year,4 Years,,,,,Molasses,New + used American oak,,https://privateerrum.com/spirit/queens-share-4-year/,2026-06-08,https://privateerrum.com/wp-content/uploads/2022/03/Privateer_QS.jpg,rum_united_states
Rum,Privateer Rum,"Ipswich, MA",Privateer,own_make,,FALSE,TRUE,Pot Still Rum; Single Cask; Distiller's Drawer,,,,,,Molasses,,,https://privateerrum.com/spirit/distillers-drawer/,2026-06-26,https://privateerrum.com/wp-content/uploads/2017/10/Privateer-Rum-Distiller-s-Drawer-scaled.jpg,rum_united_states
