spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Aged Light,1 Year,,,80.0,40.0,,Ex-bourbon (filtered),,https://cruzanrum.com/our-rums/core-rums/cruzan-aged-light-rum,2026-06-26,https://www.cruzanrum.com/sites/default/files/styles/card_1_1/public/2021-10/CZ_Batch1_PDP_Card_Option1_R03_1000x1000_AgedLight.png.webp,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Aged Dark,2 Years,,,80.0,40.0,,Charred oak,,https://cruzanrum.com/our-rums/core-rums/cruzan-aged-dark-rum,2026-06-26,https://www.cruzanrum.com/sites/default/files/styles/card_1_1/public/2021-09/CZ_Batch1_PDP_Card_Option1_R03_1000x1000_AgedDark%20%281%29.png.webp,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Hurricane Proof,,,,,,,,,https://cruzanrum.com/our-rums/core-rums/cruzan-hurricane-proof-aged-rum,2026-06-26,https://www.cruzanrum.com/sites/default/files/styles/card_1_1/public/2021-09/CZ_Batch1_PDP_Card_Option1_R03_1000x1000-HurricaneProof.png.webp,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Overproof; 151,1 Year,,,151.0,75.5,,American oak,,https://rumratings.com/rum/243-cruzan-151,2026-06-07,NULL,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Black Strap,,,,80.0,40.0,,Charred oak + blackstrap molasses,,https://cruzanrum.com/our-rums/premium-rums/cruzan-black-strap-rum,2026-06-26,https://www.cruzanrum.com/sites/default/files/styles/card_1_1/public/2021-09/CZ_Batch1_PDP_Card_Option1_R03_1000x1000_DC_BlackStrap.png.webp,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Single Cask; Single Barrel,,,,80.0,40.0,,Re-barrelled new oak,,https://cruzanrum.com/our-rums/premium-rums/cruzan-single-barrel-rum,2026-06-26,https://www.cruzanrum.com/sites/default/files/styles/card_1_1/public/2021-09/CZ_Batch1_PDP_Card_Option1_R03_1000x1000_DC_SingleBarrel.png.webp,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Estate Diamond Light,5 Years,,,80.0,40.0,,Oak (charcoal filtered),,https://cruzanrum.com/our-rums/premium-rums/cruzan-estate-diamond-light-rum,2026-06-26,https://www.cruzanrum.com/sites/default/files/styles/card_1_1/public/2021-10/CZ_Batch1_PDP_Card_Option1_R03_1000x1000_DC_LightRum.png.webp,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Estate Diamond Dark,5 Years,,,80.0,40.0,,Old oak,,https://cruzanrum.com/our-rums/premium-rums/cruzan-estate-diamond-dark-rum,2026-06-26,https://www.cruzanrum.com/sites/default/files/2021-09/CZ_Batch1_PDP_Card_Option1_R03_1000x1000_DC_DarkRum.png,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Island Reserve,,,,,,,Ex-bourbon,,https://cruzanrum.com/our-rums/premium-rums/cruzan-island-reserve-rum,2026-06-26,https://www.cruzanrum.com/sites/default/files/styles/card_1_1/public/2021-10/CZ_PDP_Card_IslandReserve.png.webp,rum_us_virgin_islands
Rum,Cruzan,"St Croix, US Virgin Islands",Cruzan,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Island Reserve 13 Year,13 Years,,,,,,Ex-bourbon,,https://cruzanrum.com/our-rums/premium-rums/cruzanr-island-reserve-13-year-old,2026-06-26,https://www.cruzanrum.com/sites/default/files/2025-06/Cruzan%20Rum%20-%20Bottle%20Shadow%20%287%29.png,rum_us_virgin_islands
