spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Planas,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Planas,NAS,,,94,47,NULL,Ex-bourbon oak,,NULL,https://www.rondiplomatico.com/our-rums/,2026-06-28,NULL,rum_venezuela
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Mantuano,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Mantuano,NAS,,,80,40,NULL,Ex-bourbon oak,,NULL,https://www.rondiplomatico.com/our-rums/,2026-06-28,NULL,rum_venezuela
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Reserva Exclusiva,own_make,NULL,FALSE,FALSE,Column Still Rum; Solera; Reserva Exclusiva,NAS,,,80,40,NULL,Ex-bourbon oak,,NULL,https://www.rondiplomatico.com/our-rums/,2026-06-28,NULL,rum_venezuela
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Seleccion de Familia,own_make,NULL,FALSE,FALSE,Blended Rum; Extra Aged; Seleccion de Familia,NAS,,,86,43,NULL,Ex-bourbon oak,,NULL,https://www.rondiplomatico.com/our-rums/,2026-06-28,NULL,rum_venezuela
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Ambassador,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Ambassador,NAS,,,94,47,NULL,Ex-bourbon oak,Pedro Ximenez Sherry,NULL,https://www.rondiplomatico.com/our-rums/,2026-06-28,NULL,rum_venezuela
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Single Vintage,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Single Vintage,NULL,NULL,,86,43,NULL,Ex-bourbon oak,Sherry,NULL,https://www.rondiplomatico.com/our-rums/,2026-06-28,NULL,rum_venezuela
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Distillery Collection No.1 Batch Kettle,own_make,NULL,FALSE,FALSE,Pot Still Rum; Aged; Distillery Collection No.1 Batch Kettle,6 Years,,,94,47,NULL,Ex-bourbon oak,,NULL,https://bespokeunit.com/articles/rum/diplomatico-distillery-collection/; https://rumporter.com/en/diplomatico-new-rums/,2026-06-28,NULL,rum_venezuela
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Distillery Collection No.2 Barbet,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Distillery Collection No.2 Barbet,4 Years,,,94,47,NULL,Ex-bourbon/ex-whisky American oak,,NULL,https://bespokeunit.com/articles/rum/diplomatico-distillery-collection/; https://rumporter.com/en/diplomatico-new-rums/,2026-06-28,NULL,rum_venezuela
Rum,Destilerias Unidas (DUSA),"Lara, Venezuela",Diplomatico Distillery Collection No.3 Pot Still,own_make,NULL,FALSE,FALSE,Pot Still Rum; Aged; Distillery Collection No.3 Pot Still,8 Years,,,94,47,NULL,American white oak,,NULL,https://bespokeunit.com/articles/rum/diplomatico-distillery-collection/; https://rumporter.com/en/diplomatico-new-rums/,2026-06-28,NULL,rum_venezuela
Rum,Hacienda Santa Teresa,"El Consejo, Aragua, Venezuela",Santa Teresa Claro,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Claro,NAS,,,80,40,NULL,Ex-bourbon oak,,NULL,https://www.buysantateresarum.com/; https://www.masterofmalt.com/rum/santa-teresa/,2026-06-07,NULL,rum_venezuela
Rum,Hacienda Santa Teresa,"El Consejo, Aragua, Venezuela",Santa Teresa Selecto,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Selecto,NAS,,,80,40,NULL,Ex-bourbon oak,,NULL,https://www.buysantateresarum.com/; https://www.masterofmalt.com/rum/santa-teresa/,2026-06-07,NULL,rum_venezuela
Rum,Hacienda Santa Teresa,"El Consejo, Aragua, Venezuela",Santa Teresa 1796,own_make,NULL,FALSE,FALSE,Blended Rum; Solera; 1796 Ron Antiguo,NAS,,,80,40,NULL,Bourbon + Limousin oak,,NULL,https://www.buysantateresarum.com/; https://www.masterofmalt.com/rum/santa-teresa/,2026-06-07,NULL,rum_venezuela
Rum,Hacienda Santa Teresa,"El Consejo, Aragua, Venezuela",Santa Teresa Bicentenario,own_make,NULL,FALSE,FALSE,Blended Rum; Extra Aged; Bicentenario Ron Ultra Anejo,NAS,,,80,40,NULL,Bourbon + Limousin oak,,NULL,https://www.excellencerhum.com/en/venezuela/626-rum-santa-teresa-bicentenario-ron-ultra-anejo.html,2026-06-26,https://cdn1.excellencerhum.com/21325-thickbox_default/rum-santa-teresa-bicentenario-ron-ultra-anejo.jpg,rum_venezuela
Rum,Industrias Pampero,Venezuela,Pampero Blanco,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Blanco,NAS,,,75,37.5,NULL,Oak,,NULL,https://www.pampero.com/seleccion; https://www.masterofmalt.com/distilleries/ron-pampero-rum-distillery/,2026-06-07,NULL,rum_venezuela
Rum,Industrias Pampero,Venezuela,Pampero Especial,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Anejo Especial,2 Years,,,80,40,NULL,Oak,,NULL,https://www.pampero.com/seleccion; https://www.masterofmalt.com/distilleries/ron-pampero-rum-distillery/,2026-06-07,NULL,rum_venezuela
Rum,Industrias Pampero,Venezuela,Pampero Aniversario,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Aniversario,NAS,,,80,40,NULL,Oak,,NULL,https://www.pampero.com/seleccion; https://www.masterofmalt.com/distilleries/ron-pampero-rum-distillery/,2026-06-07,NULL,rum_venezuela
Rum,Industrias Pampero,Venezuela,Pampero Seleccion 1938,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Anejo Seleccion 1938,NAS,,,80,40,NULL,Oak,,NULL,https://www.pampero.com/seleccion; https://www.masterofmalt.com/distilleries/ron-pampero-rum-distillery/,2026-06-07,NULL,rum_venezuela
Rum,Destileria Yaracuy,"Yaracuy, Venezuela",Ron Roble Viejo Maestro 6,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Viejo Maestro 6 Anos,6 Years,,,,,NULL,Oak,,NULL,https://rumgeography.com/producers/ron-roble/; https://www.excellencerhum.com/en/venezuela/8973-rum-ron-roble-viejo-maestro-6-years-old.html,2026-06-26,https://cdn1.excellencerhum.com/16093-thickbox_default/rum-ron-roble-viejo-maestro-6-years-old.jpg,rum_venezuela
Rum,Destileria Yaracuy,"Yaracuy, Venezuela",Ron Roble Viejo Extra Anejo,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Viejo Extra Anejo,NAS,,,,,NULL,Oak,,NULL,https://rumgeography.com/producers/ron-roble/; https://www.excellencerhum.com/en/venezuela/8973-rum-ron-roble-viejo-maestro-6-years-old.html,2026-06-26,https://cdn1.excellencerhum.com/16093-thickbox_default/rum-ron-roble-viejo-maestro-6-years-old.jpg,rum_venezuela
