spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Rossville Union Master Crafted Straight Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,5 Years,NULL,NULL,94,47,Blend of 95% rye / 5% malted barley and 51% rye / 45% corn / 4% malted barley mash bills,New charred American oak,NULL,https://www.rossvilleunion.com/;https://www.mgpingredients.com/branded-spirits/ross-squibb-distillery,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Rossville Union Master Crafted Barrel Proof Straight Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,5-6 Years,NULL,NULL,112.6,56.3,Blend of 95% rye / 5% malted barley and 51% rye / 45% corn / 4% malted barley mash bills,New charred American oak,NULL,https://www.rossvilleunion.com/;https://www.mgpingredients.com/branded-spirits/ross-squibb-distillery,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Rossville Union Bottled-in-Bond Straight Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye; Bonded,6 Years,2023,NULL,100,50,51% rye / 49% malted barley,New charred American oak,NULL,https://www.rossvilleunion.com/;https://www.mgpingredients.com/branded-spirits/ross-squibb-distillery,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope Tokaji Cask Finish,sourced,Penelope Bourbon,TRUE,FALSE,Straight Rye; ; Cooper Series,8 Years,NULL,NULL,106,53,95% rye / 5% malted barley,New charred American oak,Tokaji wine barrel finish (8.5 weeks),https://shop.penelopebourbon.com/products/tokaji-cask-finish;https://www.mgpingredients.com/more-information/news-press/news-releases/penelope-bourbon-releases-small-batch-tokaji-cask-finish,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope Toasted Rye,sourced,Penelope Bourbon,TRUE,FALSE,Straight Rye,6 Years,NULL,NULL,100,50,95% rye / 5% malted barley,New charred American oak,New Char 2 / Heavy Toast barrel finish,https://shop.penelopebourbon.com/products/penelope-toasted-rye,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Rye,sourced,Redemption Whiskey,TRUE,FALSE,Straight Rye,NULL,NULL,NULL,92,46,95% rye / 5% malted barley,New charred American oak,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Rye,sourced,Redemption Whiskey,TRUE,FALSE,Straight Rye; Cask Strength,10 Years,NULL,NULL,116.2,58.1,95% rye / 5% malted barley,New charred American oak,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Rye,sourced,Redemption Whiskey,TRUE,FALSE,Straight Rye; ; The Ancients,18 Years,NULL,NULL,105.0,52.5,NULL,New charred American oak,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Pinhook Vertical Series Rye,sourced,Pinhook Bourbon,TRUE,FALSE,Straight Rye,10 Years,2026,NULL,106,53,95% rye / 5% malted barley,New charred American oak,NULL,https://www.breakingbourbon.com/review/pinhook-tiz-rye-time-vertical-series-10-year;https://pinhookbourbon.com/products/vertical-series-rye-10-year,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Cardinal Spirits Straight Rye Whiskey,sourced,Cardinal Spirits,TRUE,FALSE,Straight Rye,3 Years+,NULL,NULL,90,45,95% rye / 5% malted barley,New charred American oak,NULL,https://cardinalspirits.com/,2026-06-28,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",George Dickel Rye Whiskey,sourced,George Dickel (Diageo),TRUE,FALSE,Straight Rye,5 Years,NULL,NULL,90,45,95% rye / 5% malted barley,New charred American oak,NULL,https://www.georgedickel.com/;https://www.breakingbourbon.com/review/george-dickel-rye-whiskey,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/5aff2b80b0b77a99dc43a62a_George-Dickel-Rye-Whiskey-02a.jpg,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Old Bones Rye 10 Year Reserve,sourced,Backbone Bourbon Co.,TRUE,FALSE,Straight Rye,10 Years,NULL,NULL,NULL,NULL,NULL,New charred American oak,NULL,https://backbonebourbon.com/,2026-06-23,NULL,rye_indiana
Rye,Ross & Squibb Distillery,"Lawrenceburg, IN",Old Scout Single Barrel Straight Rye Whiskey,sourced,Smooth Ambler,TRUE,TRUE,Straight Rye; Single Barrel,NULL,NULL,NULL,NULL,NULL,95% rye / 5% malted barley,New charred American oak,NULL,https://www.smoothambler.com/old-scout/;https://distiller.com/spirits/smooth-ambler-old-scout-single-barrel-straight-rye-whiskey,2026-06-23,NULL,rye_indiana
Rye,Starlight Distillery,"Borden, IN",Old Rickhouse Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,4 Years+,NULL,NULL,92,46,NULL,New charred American oak,NULL,https://starlightdistillery.com/ryes/old-rickhouse-rye-whiskey/,2026-06-23,NULL,rye_indiana
Rye,Starlight Distillery,"Borden, IN",Bottled-in-Bond Old Rickhouse Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye; Bonded,4 Years+,NULL,NULL,100,50,NULL,New charred American oak,NULL,https://starlightdistillery.com/ryes/bottled-in-bond-old-rickhouse-rye-whiskey/,2026-06-23,NULL,rye_indiana
Rye,Starlight Distillery,"Borden, IN",Double Oak Old Rickhouse Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,106,53,NULL,New charred American oak,Second new heavy toasted / lightly charred American oak barrel,https://starlightdistillery.com/ryes/double-oak-old-rickhouse-rye-whiskey/,2026-06-23,NULL,rye_indiana
Rye,Starlight Distillery,"Borden, IN",Single Barrel Old Rickhouse Rye Whiskey,own_make,NULL,FALSE,TRUE,Straight Rye; Single Barrel,4 Years+,NULL,NULL,NULL,NULL,NULL,New charred American oak,NULL,https://starlightdistillery.com/ryes/,2026-06-23,NULL,rye_indiana
Rye,Hard Truth Distillery,"Nashville, IN",High Road Rye,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,93,46.5,55% rye / 36% corn / 9% malted barley,New charred American oak,NULL,https://hardtruth.com/spirits/high-road-rye-whiskey/,2026-06-23,NULL,rye_indiana
Rye,Hard Truth Distillery,"Nashville, IN",Sweet Mash Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,NULL,NULL,94% rye / 6% malted barley,New charred American oak,NULL,https://hardtruth.com/spirits/sweet-mash-rye-whiskey/,2026-06-23,NULL,rye_indiana
Rye,Hard Truth Distillery,"Nashville, IN",Sweet Mash Rye Whiskey Single Barrel,own_make,NULL,FALSE,TRUE,Straight Rye; Single Barrel,NULL,NULL,NULL,NULL,NULL,94% rye / 6% malted barley,New charred American oak,NULL,https://hardtruth.com/spirits/sweet-mash-rye-whiskey/,2026-06-23,NULL,rye_indiana
Rye,Hard Truth Distillery,"Nashville, IN",7 Year Sweet Mash Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,7 Years,NULL,NULL,107,53.5,94% rye / 6% malted barley,New charred American oak,NULL,https://hardtruth.com/spirits/7-year-sweet-mash-rye-whiskey/;https://www.breakingbourbon.com/bourbon-whiskey-press-releases/hard-truth-distilling-co-unveils-trio-of-7-year-whiskeys;https://www.drinkhacker.com/2026/05/14/review-hard-truth-rye-bourbon-and-wheated-bourbon-7-years-old,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/699e1fc2b0e5116ddd2ac1d4_Hard_Truth_Distilling_Co_7_Year_Release.jpg,rye_indiana
Rye,Hard Truth Distillery,"Nashville, IN",Chocolate Malt Sweet Mash Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye; ; Master Distiller's Reserve 2023,NULL,NULL,Batch #002,114.8,57.4,51% rye / 38% chocolate malt / 11% malted barley,New charred American oak,NULL,https://hardtruth.com/spirits/,2026-06-23,NULL,rye_indiana
Rye,Hard Truth Distillery,"Nashville, IN",Caramel Malt Sweet Mash Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye; ; Master Distiller's Reserve 2023,NULL,NULL,Batch #002,116.6,58.3,51% rye / 38% caramel malt / 11% malted barley,New charred American oak,NULL,https://hardtruth.com/spirits/,2026-06-23,NULL,rye_indiana
Rye,Hard Truth Distillery,"Nashville, IN",Malted Rye Sweet Mash Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye; ; Master Distiller's Reserve 2023,NULL,NULL,Batch #002,113.4,56.7,54% rye / 46% malted rye,New charred American oak,NULL,https://hardtruth.com/spirits/,2026-06-23,NULL,rye_indiana
Rye,Hard Truth Distillery,"Nashville, IN",Master Distiller's Reserve 2024 Blend,own_make,NULL,FALSE,FALSE,Straight Rye; ; Master Distiller's Reserve 2024,5 Years+,NULL,NULL,NULL,NULL,"Blend of Chocolate Malt, Caramel Malt, and Malted Rye Sweet Mash Rye mash bills",New charred American oak,NULL,https://hardtruth.com/spirits/,2026-06-23,NULL,rye_indiana
