spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Scotch,Multiple (blended),"Various, Scotland",Compass Box Artist Blend,sourced,Compass Box,TRUE,FALSE,Blended Scotch; Independent Bottling,NAS,,,86,43,,,,,https://www.compassboxwhisky.com/pages/whiskies; https://www.masterofmalt.com/distilleries/compass-box-branded-whisky/,2026-06-26,http://www.compassboxwhisky.com/cdn/shop/files/CB-WORDMARK-CHARCOAL.png,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box Glasgow Blend,sourced,Compass Box,TRUE,FALSE,Blended Scotch; Independent Bottling,NAS,,,86,43,,,,,https://www.compassboxwhisky.com/pages/whiskies; https://www.masterofmalt.com/distilleries/compass-box-branded-whisky/,2026-06-26,http://www.compassboxwhisky.com/cdn/shop/files/CB-WORDMARK-CHARCOAL.png,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box Orchard House,sourced,Compass Box,TRUE,FALSE,Blended Malt; Independent Bottling,NAS,,,92,46,100% malted barley,,,,https://www.compassboxwhisky.com/pages/whiskies; https://www.masterofmalt.com/distilleries/compass-box-branded-whisky/,2026-06-26,http://www.compassboxwhisky.com/cdn/shop/files/CB-WORDMARK-CHARCOAL.png,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box The Peat Monster,sourced,Compass Box,TRUE,FALSE,Blended Malt; Peated; Independent Bottling,NAS,,,92,46,100% malted barley,,,,https://www.compassboxwhisky.com/pages/whiskies; https://www.masterofmalt.com/distilleries/compass-box-branded-whisky/,2026-06-26,http://www.compassboxwhisky.com/cdn/shop/files/CB-WORDMARK-CHARCOAL.png,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box The Spice Tree,sourced,Compass Box,TRUE,FALSE,Blended Malt; Independent Bottling,NAS,,,92,46,100% malted barley,Custom French oak heads,,,https://www.compassboxwhisky.com/pages/whiskies; https://www.masterofmalt.com/distilleries/compass-box-branded-whisky/,2026-06-26,http://www.compassboxwhisky.com/cdn/shop/files/CB-WORDMARK-CHARCOAL.png,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box Hedonism,sourced,Compass Box,TRUE,FALSE,Blended Grain; Independent Bottling,NAS,,,86,43,Grain whisky,First-fill American oak,,,https://www.compassboxwhisky.com/pages/whiskies; https://www.masterofmalt.com/distilleries/compass-box-branded-whisky/,2026-06-26,http://www.compassboxwhisky.com/cdn/shop/files/CB-WORDMARK-CHARCOAL.png,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box The Story of the Spaniard,sourced,Compass Box,TRUE,FALSE,Blended Malt; Independent Bottling,NAS,,,86,43,100% malted barley,,Spanish red wine & sherry casks,,https://www.compassboxwhisky.com/pages/whiskies; https://www.masterofmalt.com/distilleries/compass-box-branded-whisky/,2026-06-26,http://www.compassboxwhisky.com/cdn/shop/files/CB-WORDMARK-CHARCOAL.png,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box Nectarosity,sourced,Compass Box,TRUE,FALSE,Blended Scotch; Independent Bottling,NAS,,,92,46,,Palo Cortado seasoned butts & refill sherry puncheons,,,https://whiskyadvocate.com/Review-Compass-Box-Crimson-Casks-and-Nectarosity-Whisky,2026-06-28,NULL,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box Crimson Casks,sourced,Compass Box,TRUE,FALSE,Blended Malt; Sherry Cask; Independent Bottling,NAS,,,92,46,100% malted barley,Sherry-seasoned oak,,,https://whiskyadvocate.com/Review-Compass-Box-Crimson-Casks-and-Nectarosity-Whisky,2026-06-28,NULL,scotch_independent_bottlers
Scotch,Multiple (blended),"Various, Scotland",Compass Box No Name No. 1,sourced,Compass Box,TRUE,FALSE,Blended Malt; Heavily Peated; Independent Bottling,NAS,,,97.8,48.9,100% malted barley,,,,https://www.compassboxwhisky.com/pages/whiskies; https://www.masterofmalt.com/distilleries/compass-box-branded-whisky/,2026-06-26,http://www.compassboxwhisky.com/cdn/shop/files/CB-WORDMARK-CHARCOAL.png,scotch_independent_bottlers
