spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Ten,10 Years,,,92,46,100% malted barley,Ex-bourbon casks,,https://www.ardbeg.com/en-gb/our-whisky/ardbeg-ten,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Wee Beastie,5 Years,,,94.8,47.4,100% malted barley,Ex-bourbon and ex-Oloroso sherry casks,,https://www.ardbeg.com/en-gb/wee-beastie,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; An Oa,NAS,,,93.2,46.6,100% malted barley,"Ex-bourbon, PX sherry and virgin charred oak (Gathering Vat)",,https://www.ardbeg.com/en-gb/an-oa,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Sherry Cask; Uigeadail,NAS,,,108.4,54.2,100% malted barley,Ex-bourbon and ex-Oloroso sherry casks,,https://www.ardbeg.com/en-gb/uigeadail,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Corryvreckan,NAS,,,114.2,57.1,100% malted barley,Ex-bourbon and new French oak casks,,https://www.ardbeg.com/en-gb/corryvreckan,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated,25 Years,,,92,46,100% malted barley,Ex-bourbon casks,,https://www.ardbeg.com/Ardbeg%2025%20Years%20Old-1089110.html,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Sherry Cask; Traigh Bhan,19 Years,2019,Batch 1,92.4,46.2,100% malted barley,Ex-bourbon and ex-Oloroso sherry casks,,https://www.ardbeg.com/Ardbeg%20Traigh%20Bhan%2019%20Years%20Old%20Batch%201-2019ARDTB1.html,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Sherry Cask; Traigh Bhan,19 Years,2020,Batch 2,92.4,46.2,100% malted barley,Ex-bourbon and ex-Oloroso sherry casks,,https://www.ardbeg.com/Ardbeg%20Traigh%20Bhan%2019%20Years%20Old%20Batch%202-2020ARDTB2.html,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Sherry Cask; Traigh Bhan,19 Years,2021,Batch 3,92.4,46.2,100% malted barley,Ex-bourbon and ex-Oloroso sherry casks,,https://winedelight.com/products/ardbeg-traigh-bhan-19-years-single-malt-scotch,2026-06-26,http://winedelight.com/cdn/shop/files/10022_1200x1200.webp,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Sherry Cask; Traigh Bhan,19 Years,2022,Batch 4,92.4,46.2,100% malted barley,Ex-bourbon and ex-Oloroso sherry casks,,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-traigh-bhan-19-year-old-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/products/46269/43173/136320_GWPSocks_25_05_15_IMG_9999_removebg__83103.1758587582.jpg,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Sherry Cask; Traigh Bhan,19 Years,2023,Batch 5,92.4,46.2,100% malted barley,Ex-bourbon and ex-Oloroso sherry casks,,https://www.bswliquor.com/products/ardbeg-19-year-old-traigh-bhan-1,2026-06-26,http://www.bswliquor.com/cdn/shop/files/image_c733e77b-d16e-4fdf-98e3-10064f3d90fa.png,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Sherry Cask; Traigh Bhan,19 Years,2024,Batch 6,92.4,46.2,100% malted barley,Ex-bourbon and ex-Oloroso sherry casks,,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-traigh-bhan-19-year-old-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/products/46269/43173/136320_GWPSocks_25_05_15_IMG_9999_removebg__83103.1758587582.jpg,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Anthology The Harpy's Tale,13 Years,2023,,92,46,100% malted barley,Ex-bourbon casks,Sauternes wine casks,https://www.ardbeg.com/en-gb/theunicornstale.html,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Anthology The Unicorn's Tale,14 Years,2024,,92,46,100% malted barley,Ex-bourbon casks,Madeira casks,https://www.ardbeg.com/en-gb/theunicornstale.html,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Anthology The Beithir's Tale,15 Years,2025,,92,46,100% malted barley,Designer casks,,https://www.ardbeg.com/en-gb/ardbeg-anthology-the-beithirs-tale-1111290.html,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Drum,NAS,2019,,92,46,100% malted barley,Ex-bourbon casks,Ex-rum casks,https://www.thewhiskyexchange.com/p/71408/ardbeg-heavy-vapours-ardbeg-day-2023,2026-06-26,https://img.thewhiskyexchange.com/540/abgob.non52.jpg,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Blaaack,NAS,2020,,92,46,100% malted barley,Ex-bourbon casks,Pinot Noir casks,https://www.ardbeg.com/en-gb/events/ardbegday.html,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Scorch,NAS,2021,,92,46,100% malted barley,Heavily charred ex-bourbon casks,,https://www.ardbeg.com/en-gb/events/ardbegday.html,2026-06-04,NULL,scotch_islay
Scotch,Ardbeg,"Port Ellen, Islay",Ardbeg,own_make,,FALSE,FALSE,Single Malt; Heavily Peated; Ardcore,NAS,2022,,92,46,Malted barley incl. black malt,Ex-bourbon casks,,https://www.ardbeg.com/en-gb/events/ardbegday.html,2026-06-04,NULL,scotch_islay
