spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 1st Release (2001),22 Years,1979,,112.4,56.2,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 2nd Release (2002),24 Years,1978,,118.7,59.35,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 3rd Release (2003),24 Years,1979,,114.6,57.3,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 4th Release (2004),25 Years,1978,,112.4,56.2,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 5th Release (2005),25 Years,1979,,114.8,57.4,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 6th Release (2006),27 Years,1978,,108.4,54.2,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 7th Release (2007),28 Years,1979,,107.6,53.8,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 8th Release (2008),29 Years,1978,,110.6,55.3,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 9th Release (2009),30 Years,1979,,115.4,57.7,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 10th Release (2010),31 Years,1978,,109,54.5,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 11th Release (2011),32 Years,1979,,107.8,53.9,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 12th Release (2012),32 Years,1979,,105,52.5,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 13th Release (2013),34 Years,1978,,110,55,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 14th Release (2014),35 Years,1978,,113,56.5,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 15th Release (2015),32 Years,1983,,107.8,53.9,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 16th Release (2016),37 Years,1978,,110.4,55.2,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Port Ellen,"Port Ellen, Islay",Port Ellen,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 17th Release (2017),37 Years,1979,,102,51,100% malted barley,Refill American & European oak,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://worldwinewhisky.com/products/port-ellen-diageo-special-releases-2001-2017-full; https://www.marklittler.com/port-ellen-annual-releases-history/,2026-06-28,NULL,scotch_legacy_closed
Scotch,Brora,"Brora, Sutherland",Brora,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 1st Release (2002),30 Years,1972,,104.8,52.4,100% malted barley,Refill American oak hogsheads,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://whiskyadvocate.com/whats-it-worth-brora-pricing-a-legend,2026-06-28,NULL,scotch_legacy_closed
Scotch,Brora,"Brora, Sutherland",Brora,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 2nd Release (2003),30 Years,,,111.4,55.7,100% malted barley,Refill American oak hogsheads,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://whiskyadvocate.com/whats-it-worth-brora-pricing-a-legend,2026-06-28,NULL,scotch_legacy_closed
Scotch,Brora,"Brora, Sutherland",Brora,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 3rd Release (2004),30 Years,,,113.2,56.6,100% malted barley,Refill American oak hogsheads,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://whiskyadvocate.com/whats-it-worth-brora-pricing-a-legend,2026-06-28,NULL,scotch_legacy_closed
Scotch,Brora,"Brora, Sutherland",Brora,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 4th Release (2005),30 Years,1975,,112.6,56.3,100% malted barley,Refill American oak hogsheads,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://whiskyadvocate.com/whats-it-worth-brora-pricing-a-legend,2026-06-28,NULL,scotch_legacy_closed
Scotch,Brora,"Brora, Sutherland",Brora,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 5th Release (2006),30 Years,,,111.4,55.7,100% malted barley,Refill American oak hogsheads,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://whiskyadvocate.com/whats-it-worth-brora-pricing-a-legend,2026-06-28,NULL,scotch_legacy_closed
Scotch,Brora,"Brora, Sutherland",Brora,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Diageo Special Releases 6th Release (2007),30 Years,,,111.4,55.7,100% malted barley,Refill American oak hogsheads,,,https://magazine.whisky.auction/how-to/how-to-read-a-diageo-special-releases-label/; https://whiskyadvocate.com/whats-it-worth-brora-pricing-a-legend,2026-06-28,NULL,scotch_legacy_closed
