spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Scotch,Auchentoshan,"Clydebank, Lowland",Auchentoshan,own_make,,FALSE,FALSE,Single Malt,NAS,,,80,40,100% malted barley,First-fill ex-bourbon American oak casks,,https://www.auchentoshan.com/core-range/american-oak,2026-06-26,https://www.auchentoshan.com/sites/default/files/2025-12/whisky-bottle-american-oak-auchentoshan.png,scotch_lowlands
Scotch,Auchentoshan,"Clydebank, Lowland",Auchentoshan,own_make,,FALSE,FALSE,Single Malt,12 Years,,,80,40,100% malted barley,Ex-bourbon American oak and Oloroso sherry casks,,https://www.auchentoshan.com/core-range/12-year-old-double-cask,2026-06-26,https://www.auchentoshan.com/sites/default/files/2025-12/whisky-bottle-12-year-double-cask-auchentoshan.png,scotch_lowlands
Scotch,Auchentoshan,"Clydebank, Lowland",Auchentoshan,own_make,,FALSE,FALSE,Single Malt; Three Wood,NAS,,,86,43,100% malted barley,Ex-bourbon casks,Oloroso then Pedro Ximenez sherry,https://www.auchentoshan.com/core-range,2026-06-05,NULL,scotch_lowlands
Scotch,Auchentoshan,"Clydebank, Lowland",Auchentoshan,own_make,,FALSE,FALSE,Single Malt,18 Years,,,86,43,100% malted barley,Ex-bourbon American oak casks,,https://www.auchentoshan.com/core-range,2026-06-05,NULL,scotch_lowlands
Scotch,Auchentoshan,"Clydebank, Lowland",Auchentoshan,own_make,,FALSE,FALSE,Single Malt,21 Years,,,86,43,100% malted barley,American bourbon and Spanish sherry casks,,https://www.auchentoshan.com/core-range,2026-06-05,NULL,scotch_lowlands
Scotch,Glenkinchie,"Pencaitland, Lowland",Glenkinchie,own_make,,FALSE,FALSE,Single Malt,12 Years,,,86,43,100% malted barley,Ex-bourbon and sherry casks,,https://www.masterofmalt.com/whiskies/glenkinchie/glenkinchie-12-year-old-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/33024_source_1780563818.jpg,scotch_lowlands
Scotch,Glenkinchie,"Pencaitland, Lowland",Glenkinchie,own_make,,FALSE,FALSE,Single Malt; Distillers Edition,NAS,,,86,43,100% malted barley,Ex-bourbon casks,Amontillado sherry,https://www.whisky.com/whisky-database/details/glenkinchie-distillers-edition-11.html,2026-06-05,NULL,scotch_lowlands
Scotch,Glenkinchie,"Pencaitland, Lowland",Glenkinchie,own_make,,FALSE,FALSE,Single Malt; Cask Strength,27 Years,2023,,116.6,58.3,100% malted barley,Refill American and ex-bodega European oak casks,,https://www.masterofmalt.com/whiskies/glenkinchie/glenkinchie-27-year-old-special-release-2023-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/38541_source_1773654650.jpg,scotch_lowlands
Scotch,Bladnoch,"Bladnoch, Lowland",Bladnoch,own_make,,FALSE,FALSE,Single Malt; Vinaya,NAS,,,86.8,43.4,100% malted barley,First-fill bourbon and first-fill sherry casks,,https://www.bladnoch.com/products/samsara-single-malt-whisky; https://www.thespiritsbusiness.com/2024/09/bladnoch-updates-single-malt-range/,2026-06-05,NULL,scotch_lowlands
Scotch,Bladnoch,"Bladnoch, Lowland",Bladnoch,own_make,,FALSE,FALSE,Single Malt; Samsara,NAS,,,86.8,43.4,100% malted barley,First-fill bourbon and red wine casks,,https://www.bladnoch.com/products/samsara-single-malt-whisky,2026-06-05,NULL,scotch_lowlands
Scotch,Bladnoch,"Bladnoch, Lowland",Bladnoch,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Liora,NAS,,,104.4,52.2,100% malted barley,First-fill bourbon casks,,https://www.whiskynotes.be/2024/bladnoch/bladnoch-vinaya-samsara-liora-alinta/,2026-06-28,NULL,scotch_lowlands
Scotch,Bladnoch,"Bladnoch, Lowland",Bladnoch,own_make,,FALSE,FALSE,Single Malt; Peated; Alinta,NAS,,,86.8,43.4,100% malted barley,First-fill bourbon (~12yr) and first-fill Pedro Ximenez (~4yr) casks,,https://www.whiskynotes.be/2025/bladnoch/bladnoch-alinta-review/,2026-06-28,NULL,scotch_lowlands
Scotch,Bladnoch,"Bladnoch, Lowland",Bladnoch,own_make,,FALSE,FALSE,Single Malt; Heritage Collection,13 Years,,,,,100% malted barley,Bourbon and sherry casks,,https://whiskymag.com/articles/bladnoch-reimagines-core-collection-of-age-statement-whiskies/,2026-06-28,NULL,scotch_lowlands
Scotch,Bladnoch,"Bladnoch, Lowland",Bladnoch,own_make,,FALSE,FALSE,Single Malt; Heritage Collection,16 Years,,,,,100% malted barley,Bourbon and sherry casks,,https://ascotonscotch.com/2025/07/16/bladnoch-16-year-old-review/,2026-06-28,NULL,scotch_lowlands
Scotch,Bladnoch,"Bladnoch, Lowland",Bladnoch,own_make,,FALSE,FALSE,Single Malt,19 Years,,,,,100% malted barley,Bourbon and sherry casks,,https://whiskymag.com/articles/bladnoch-reimagines-core-collection-of-age-statement-whiskies/,2026-06-28,NULL,scotch_lowlands
Scotch,Bladnoch,"Bladnoch, Lowland",Bladnoch,own_make,,FALSE,FALSE,Single Malt,30 Years,,,,,100% malted barley,Bourbon and sherry casks,,https://whiskymag.com/articles/bladnoch-reimagines-core-collection-of-age-statement-whiskies/,2026-06-28,NULL,scotch_lowlands
