spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Patrón,own_make,,FALSE,FALSE,Blanco; 100% Agave,NAS,,,80,40,100% Blue Weber Agave,,,"Fresh, smooth, light pepper and citrus; tahona + roller-mill blend, triple-distilled",https://www.patrontequila.com,2026-06-08,https://www.patrontequila.com/binaries/content/gallery/patrontequila/products/patron-silver/2025_plp_silver.jpg,tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Patrón,own_make,,FALSE,FALSE,Reposado; 100% Agave,NAS,,,80,40,100% Blue Weber Agave,Used American oak,,"Smooth, hint of oak; fresh agave and oak",https://www.totalwine.com/spirits/tequila/reposado/patron-reposado/p/98666750,2026-06-23,https://www.totalwine.com/dynamic/490x/images/98666750/98666750-1-fr.png,tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Patrón,own_make,,FALSE,FALSE,Añejo; 100% Agave,NAS,,,80,40,100% Blue Weber Agave,"American, French and Hungarian oak",,"Smoky-sweet finish; oak, vanilla, baked agave",https://www.totalwine.com/spirits/tequila/anejo/patron-anejo-tequila/p/5655750,2026-06-23,"https://www.totalwine.com/dynamic/x1000,sq/images/5655750/5655750-1-fr.png",tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Patrón,own_make,,FALSE,FALSE,Extra Añejo; 100% Agave,NAS,,,80,40,100% Blue Weber Agave,"New and used American, French and Hungarian oak",,"Rich; oak, dried fruit, agave",https://www.oldtowntequila.com/patron-extra-anejo-750ml/,2026-06-23,https://cdn11.bigcommerce.com/s-u9ww3di/products/7391/images/21272/Patron_Extra_Anejo__54554.1755486004.600.600.png?c=2,tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Patrón,own_make,,FALSE,FALSE,Cristalino; 100% Agave,NAS,,,80,40,100% Blue Weber Agave,"American, French and Hungarian oak; charcoal-filtered clear",,"Sweet, smooth, crystal-clear aged tequila",https://www.totalwine.com/spirits/tequila/cristalino/patron-cristalino-tequila/p/2126249777,2026-06-23,"https://www.totalwine.com/dynamic/x1000,sq/images/2126249777/2126249777-1-fr.png",tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Patrón El Cielo,own_make,,FALSE,FALSE,"Blanco; 100% Agave, Highland",NAS,,,80,40,100% Blue Weber Agave,,,"Four-times distilled silver; subtly sweet, smooth",https://www.patrontequila.com,2026-06-27,https://www.patrontequila.com/binaries/content/gallery/patrontequila/products/patron-silver/2025_plp_silver.jpg,tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Patrón El Alto,own_make,,FALSE,FALSE,"Reposado; 100% Agave, Highland",NAS,,,80,40,100% Blue Weber Agave,American and French oak (blend),,"Apricot, vanilla, almond, cooked agave; blend of Extra Añejo/Añejo/Reposado",https://www.patrontequila.com,2026-06-27,https://www.patrontequila.com/binaries/content/gallery/patrontequila/products/patron-silver/2025_plp_silver.jpg,tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Gran Patrón,own_make,,FALSE,FALSE,"Blanco; 100% Agave, Tahona; Platinum",NAS,,,80,40,100% Blue Weber Agave,,,"Ultra-premium silver, hand-numbered crystal bottle",https://www.totalwine.com/spirits/tequila/blancosilver/patron-tequila-gran-platinum/p/14897750,2026-06-23,"https://www.totalwine.com/dynamic/x1000,sq/images/14897750/14897750-1-fr.png",tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Gran Patrón,own_make,,FALSE,FALSE,"Extra Añejo; 100% Agave, Tahona, Brick Oven; Piedra",4 Years,,,80,40,100% Blue Weber Agave,French Limousin and new American oak,,Tahona extra añejo,https://www.totalwine.com/spirits/tequila/anejo/patron-tequila-gran-piedra/p/138616750,2026-06-23,"https://www.totalwine.com/dynamic/x1000,sq/images/138616750/138616750-1-fr.png",tequila_mexico
Tequila,Hacienda Patrón (NOM 1492),"Atotonilco el Alto, Jalisco, Mexico",Gran Patrón,own_make,,FALSE,FALSE,"Añejo; 100% Agave, Wine cask; Burdeos",NAS,,,80,40,100% Blue Weber Agave,Used American and new French oak,First-growth Bordeaux wine casks,"Charred wood, amber honey, roasted pumpkin, coriander, blackcurrant, raisin, vanilla",https://www.totalwine.com/spirits/tequila/anejo/patron-tequila-burdeos-anejo/p/101184750,2026-06-23,"https://www.totalwine.com/dynamic/x1000,sq/images/101184750/101184750-1-fr.png",tequila_mexico
