spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Vodka,Globefill Inc. (Crystal Head),"Newfoundland and Labrador, Canada",Crystal Head,own_make,NULL,FALSE,FALSE,Vodka; Corn; Original,NULL,NULL,NULL,80,40.0,Canadian corn,NULL,NULL,https://www.crystalheadvodka.com/shop/,2026-06-12,NULL,vodka_canada
Vodka,Globefill Inc. (Crystal Head),"Newfoundland and Labrador, Canada",Crystal Head,own_make,NULL,FALSE,FALSE,"Vodka; Wheat, Diamond Filtered; Aurora",NULL,NULL,NULL,80,40.0,English wheat,NULL,NULL,https://www.crystalheadvodka.com/shop/,2026-06-12,NULL,vodka_canada
Vodka,Globefill Inc. (Crystal Head),"Newfoundland and Labrador, Canada",Crystal Head,own_make,NULL,FALSE,FALSE,Vodka; Corn; Bone,NULL,NULL,NULL,80,40.0,Canadian corn,NULL,NULL,https://www.crystalheadvodka.com/shop/,2026-06-12,NULL,vodka_canada
Vodka,Alberta Distillers,"Calgary, AB",Alberta Pure,own_make,NULL,FALSE,FALSE,Vodka; Grain; Alberta Pure,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,https://www.albertadistillers.com/our-brands/alberta-pure-vodka,2026-06-12,NULL,vodka_canada
Vodka,Alberta Distillers,"Calgary, AB",Banff Ice,own_make,NULL,FALSE,FALSE,Vodka; Grain; Banff Ice,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,https://www.albertadistillers.com/our-products/vodka/banff-ice-vodka,2026-06-12,NULL,vodka_canada
Vodka,Pemberton Distillery,"Pemberton, BC",Schramm,own_make,NULL,FALSE,FALSE,"Vodka; Potato, Organic; Schramm",NULL,NULL,NULL,80,40.0,Organic potatoes,NULL,NULL,https://www.bcspirits.com/blog/2020/3/22/schramm-vodka,2026-06-12,NULL,vodka_canada
Vodka,Iceberg Vodka,"Newfoundland and Labrador, Canada",Iceberg,own_make,NULL,FALSE,FALSE,Vodka; Grain; Iceberg,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,https://www.iceberg.ca/,2026-06-12,NULL,vodka_canada
Vodka,Victoria Distillers,"Sidney, BC",Left Coast Hemp Vodka,own_make,NULL,FALSE,FALSE,Vodka; Hemp; Left Coast Hemp,NULL,NULL,NULL,NULL,NULL,Hemp seed,NULL,NULL,https://victoriadistillers.com/spirits/left-coast-hemp-vodka/,2026-06-12,NULL,vodka_canada
Vodka,Ungava Spirits Co.,"Cowansville, QC",Quartz Vodka,own_make,NULL,FALSE,FALSE,Vodka; Quartz Filtered; Quartz,NULL,NULL,NULL,82,41.0,NULL,NULL,NULL,https://ungavaco.com/en/products/vodka-quartz/,2026-06-12,NULL,vodka_canada
Vodka,Eau Claire Distillery,"Turner Valley, AB",Three Point Vodka,own_make,NULL,FALSE,FALSE,Vodka; ; Three Point,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://eauclairedistillery.ca/,2026-06-12,NULL,vodka_canada
Vodka,Dillon's Small Batch Distillers,"Beamsville, ON",Dillon's Vodka,own_make,NULL,FALSE,FALSE,Vodka; Rye; Dillon's,NULL,NULL,NULL,81.2,40.6,100% Ontario rye,NULL,NULL,https://shop.dillons.ca/spirits/vodka/,2026-06-12,NULL,vodka_canada
Vodka,Sheringham Distillery,"Sooke, BC",Pacific Vodka,own_make,NULL,FALSE,FALSE,Vodka; Grain; Pacific,NULL,NULL,NULL,82,41.0,BC grain,NULL,NULL,https://www.sheringhamdistillery.com/pacific-vodka/,2026-06-12,NULL,vodka_canada
Vodka,Undisclosed (Canada),"Alberta, Canada",Aylesbury Duck,sourced,Aylesbury Duck,TRUE,FALSE,Vodka; Wheat; Aylesbury Duck,,,,80,40,Winter wheat,,,https://www.diffordsguide.com/beer-wine-spirits/3517/aylesbury-duck; https://www.drinkspirits.com/vodka/review-aylesbury-duck-vodka/,2026-06-27,https://cdn.diffordsguide.com/bws/ZzBbnZ/product-image/0/512x.webp,vodka_canada
Vodka,Undisclosed (Canada),"Alberta, Canada",Pearl,sourced,Pearl,TRUE,FALSE,Vodka; Wheat; Pearl,,,,80,40,Canadian winter wheat,,,https://www.luxco.com/brand/pearl/; https://theliquorbarn.com/products/pearl-vodka-1-75l,2026-06-13,,vodka_canada
