spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vodka,Liviko,"Tallinn, Estonia",Viru Valge,own_make,,FALSE,FALSE,"Vodka; Grain, Charcoal Filtered; Viru Valge",NAS,,,80.0,40.0,Grain,,,"Flagship Estonian grain vodka, made from Estonian grain and groundwater prepared by coal (charcoal) filtration; oldest vodka brand in Estonia (1962). Asserts the 'Estonian vodka' (Eesti viin) protected GI. Standard 40% vol bottling.",https://liviko.eu/en/liviko-distillery/viru-valge/; https://www.thewhiskyexchange.com/p/31850/liviko-viru-valge-estonian-vodka,2026-06-11,,vodka_estonia
Vodka,Liviko,"Tallinn, Estonia",Viru Valge Vagev,own_make,,FALSE,FALSE,"Vodka; Grain, Overproof; Vagev",NAS,,,160.0,80.0,Grain,,,Overproof (80% vol) version of Viru Valge grain vodka.,https://liviko.eu/en/liviko-distillery/viru-valge/,2026-06-11,,vodka_estonia
Vodka,Liviko,"Tallinn, Estonia",Viru Valge Cranberry,own_make,,FALSE,FALSE,"Vodka; Grain, Cranberry Flavored; Cranberry",NAS,,,75.0,37.5,Grain,,,"Flavoured Viru Valge at 37.5% vol (at/above the 37.5% threshold and labelled vodka, retained in vodka scope).",https://liviko.ee/en/product/viru-valge-vodka/,2026-06-27,https://liviko.ee/static/Viru-Valge-Vodka-Festive-Edition-Keila-kirivöö-WEB.jpg,vodka_estonia
Vodka,Liviko,"Tallinn, Estonia",Viru Valge Cherry,own_make,,FALSE,FALSE,"Vodka; Grain, Cherry Flavored; Cherry",NAS,,,75.0,37.5,Grain,,,Flavoured Viru Valge at 37.5% vol.,https://liviko.ee/en/product/viru-valge-vodka/,2026-06-27,https://liviko.ee/static/Viru-Valge-Vodka-Festive-Edition-Keila-kirivöö-WEB.jpg,vodka_estonia
Vodka,Liviko,"Tallinn, Estonia",Viru Valge Green Apple,own_make,,FALSE,FALSE,"Vodka; Grain, Green Apple Flavored; Green Apple",NAS,,,75.0,37.5,Grain,,,Flavoured Viru Valge at 37.5% vol.,https://liviko.ee/en/product/viru-valge-vodka/,2026-06-27,https://liviko.ee/static/Viru-Valge-Vodka-Festive-Edition-Keila-kirivöö-WEB.jpg,vodka_estonia
Vodka,Liviko,"Tallinn, Estonia",Viru Valge Watermelon,own_make,,FALSE,FALSE,"Vodka; Grain, Watermelon Flavored; Watermelon",NAS,,,75.0,37.5,Grain,,,Flavoured Viru Valge at 37.5% vol.,https://liviko.ee/en/product/viru-valge-vodka/,2026-06-27,https://liviko.ee/static/Viru-Valge-Vodka-Festive-Edition-Keila-kirivöö-WEB.jpg,vodka_estonia
Vodka,Liviko,"Tallinn, Estonia",Viru Valge Plum,own_make,,FALSE,FALSE,"Vodka; Grain, Plum Flavored; Plum",NAS,,,75.0,37.5,Grain,,,Flavoured Viru Valge plum vodka (Liviko product page).,https://liviko.ee/en/product/viru-valge-plum-vodka/,2026-06-27,https://liviko.ee/static/Viru-Valge-Plum-Vodka-WEB.jpg,vodka_estonia
Vodka,Moe Distillery,"Moe (Muddis) Manor, Pandivere, Estonia",Moe Viin 1886 / Rye 1886,own_make,,FALSE,FALSE,Vodka; Rye; Rye 1886,NAS,,,80.0,40.0,Sangaste Rye,,,"Signature vodka of Moe Distillery, organic, made from Estonian Sangaste winter rye and Pandivere well water. Sold in Estonia as 'Moe Viin 1886'; exported as 'Rye 1886'. Asserts the 'Estonian vodka' protected geographical indication (PGI/GI). 40% vol.",https://moe.ee/en/pgi-estonian-vodka/,2026-06-11,,vodka_estonia
Vodka,Moe Distillery,"Moe (Muddis) Manor, Pandivere, Estonia",Silver Swan 1688,own_make,,FALSE,FALSE,Vodka; Grain; Silver Swan 1688,NAS,,,80.0,40.0,Winter Grain,,,Unfiltered classic-style winter-grain vodka. Asserts the 'Estonian vodka' protected GI. 40% vol.,https://moe.ee/en/pgi-estonian-vodka/,2026-06-11,,vodka_estonia
Vodka,Moe Distillery,"Moe (Muddis) Manor, Pandivere, Estonia",Silver Swan Pure Rye,own_make,,FALSE,FALSE,Vodka; Rye; Silver Swan Pure Rye,NAS,,,80.0,40.0,Sangaste Rye,,,"Classic rye vodka from Moe Distillery, made from Sangaste winter rye. Asserts the 'Estonian vodka' protected GI. 40% vol.",https://moe.ee/en/pgi-estonian-vodka/,2026-06-11,,vodka_estonia
Vodka,Moe Distillery,"Moe (Muddis) Manor, Pandivere, Estonia",Silver Swan Organic Vodka,own_make,,FALSE,FALSE,"Vodka; Rye, Organic; Silver Swan Organic",NAS,,,80.0,40.0,Sangaste Rye,,,Organic classic vodka from Sangaste winter rye. Asserts the 'Estonian vodka' protected GI. 40% vol.,https://moe.ee/en/pgi-estonian-vodka/,2026-06-11,,vodka_estonia
Vodka,Moe Distillery,"Moe (Muddis) Manor, Pandivere, Estonia",J.J. Kurberg Rye Malt Vodka,own_make,,FALSE,FALSE,Vodka; Rye; J.J. Kurberg Rye Malt,NAS,,,80.0,40.0,Sangaste Rye and Rye Malt,,,"Slow-distilled Estonian vodka from Sangaste winter rye and rye malt with Moe karst water, by the recipe of pharmacist J.J. Kurberg. Asserts the 'Estonian vodka' protected GI. 40% vol.",https://moe.ee/en/pgi-estonian-vodka/,2026-06-11,,vodka_estonia
Vodka,Moe Distillery,"Moe (Muddis) Manor, Pandivere, Estonia",Apteekri Viin 80%,own_make,,FALSE,FALSE,"Vodka; Rye, Overproof; Apteekri Viin 80%",NAS,,,160.0,80.0,Winter Rye,,,"Clear, exceptionally pure overproof (80% vol) rye spirit, made from Estonian spirit and Pandivere water; intended for making schnapps and tinctures.",https://moe.ee/en/pgi-estonian-vodka/,2026-06-11,,vodka_estonia
