spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; ; Classic,,,,80.0,40,Barley,,,"Six-row barley vodka, glacial spring water.",https://www.finlandia.com/en/vodka-flavours/finlandia-classic; https://www.finlandia.com/en/vodka-flavours,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-classic.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; Berry Flavored; Redberry,,,,75.0,37.5,Barley,,,Flavoured barley vodka (37.5%).,https://www.finlandia.com/en/vodka-flavours; https://www.finlandia.com/en/vodka-flavours/finlandia-redberry,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-redberry2.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; Mango Flavored; Mango,,,,75.0,37.5,Barley,,,Flavoured barley vodka (37.5%).,https://www.finlandia.com/en/vodka-flavours; https://www.finlandia.com/en/vodka-flavours/finlandia-mango,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-mango1.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; Coconut Flavored; Coconut,,,,75.0,37.5,Barley,,,Flavoured barley vodka (37.5%).,https://www.finlandia.com/en/vodka-flavours; https://www.finlandia.com/en/vodka-flavours/finlandia-coconut,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-coconut1.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; Citrus Flavored; Lime,,,,75.0,37.5,Barley,,,Flavoured barley vodka (37.5%).,https://www.finlandia.com/en/vodka-flavours; https://www.finlandia.com/en/vodka-flavours/finlandia-lime,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-lime1.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; Cranberry Flavored; Cranberry,,,,75.0,37.5,Barley,,,Flavoured barley vodka (37.5%).,https://www.finlandia.com/en/vodka-flavours; https://www.finlandia.com/en/vodka-flavours/finlandia-cranberry,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-cranberry1.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; Blackcurrant Flavored; Blackcurrant,,,,75.0,37.5,Barley,,,Flavoured barley vodka (37.5%).,https://www.finlandia.com/en/vodka-flavours; https://www.finlandia.com/en/vodka-flavours/finlandia-blackcurrant,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-blackcurrent1.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; Citrus Flavored; Grapefruit,,,,75.0,37.5,Barley,,,Flavoured barley vodka (37.5%).,https://www.finlandia.com/en/vodka-flavours; https://www.finlandia.com/en/vodka-flavours/finlandia-grapefruit,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-grapefruit1.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; Raspberry Flavored; Raspberry,,,,75.0,37.5,Barley,,,Flavoured barley vodka (37.5%).,https://www.finlandia.com/en/vodka-flavours; https://www.finlandia.com/en/vodka-flavours/finlandia-raspberry,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/bottle-raspberry1.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Finlandia,own_make,,FALSE,FALSE,Vodka; ; 101,,,,101.0,50.5,Barley,,,101-proof (50.5%) expression.,https://www.finlandia.com/en/vodka-flavours/finlandia-101,2026-06-11,https://www.finlandia.com/content/dam/finlandia/corporate/images/sites/3/2018/06/Finlandia101_Bottle_340x1500_morefill.png,vodka_finland
Vodka,Koskenkorva Distillery,"Koskenkorva, Ilmajoki, Finland",Koskenkorva,own_make,,FALSE,FALSE,Vodka; ; Original,,,,80.0,40,Barley,,,"Anora's barley vodka, continuous distillation, Koskenkorva village.",https://koskenkorva.com/en/koskenkorva-vodka-original; https://koskenkorva.com/,2026-06-11,,vodka_finland
Vodka,Kyrö Distillery,"Isokyrö, Finland",Kyrö,own_make,,FALSE,FALSE,Vodka; ; Kyrö,,,,80.0,40,Whole-grain rye,,,100% Finnish whole-grain rye; birch-charcoal filtered.,https://www.alko.fi/en/products/179687/Kyr-Vodka/; https://kyrodistillery.com/,2026-06-27,https://images.alko.fi/images/t_pdp/cdn/179687/kyro-vodka.jpg,vodka_finland
