spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Vodka,Grey Goose,"Gensac-la-Pallue, France",Grey Goose,own_make,,FALSE,FALSE,Vodka; ; Grey Goose,,,,80.0,40,Winter wheat (Picardie),,,https://www.greygoose.com/products/grey-goose-vodka.html; https://www.greygoose.com/products.html,2026-06-11,https://www.greygoose.com/binaries/content/gallery/greygoose/products/grey-goose-vodka/product-card-750ml.jpg,vodka_france
Vodka,Grey Goose,"Gensac-la-Pallue, France",Grey Goose,own_make,,FALSE,FALSE,Vodka; ; Altius,,,,80.0,40,Winter wheat (Picardie),,,https://www.greygoose.com/products/grey-goose-altius.html; https://www.greygoose.com/products.html,2026-06-11,https://www.greygoose.com/binaries/content/gallery/greygoose/products/grey-goose-altius/product-card.jpg,vodka_france
Vodka,Grey Goose,"Gensac-la-Pallue, France",Grey Goose,own_make,,FALSE,FALSE,Vodka; Pear Flavored; La Poire,,,,80.0,40,Winter wheat (Picardie),,,https://www.greygoose.com/products/la-poire.html; https://www.greygoose.com/products.html,2026-06-11,https://www.greygoose.com/binaries/content/gallery/greygoose/products/la-poire/product-card.jpg,vodka_france
Vodka,Grey Goose,"Gensac-la-Pallue, France",Grey Goose,own_make,,FALSE,FALSE,Vodka; Citrus Flavored; L'Orange,,,,80.0,40,Winter wheat (Picardie),,,https://www.greygoose.com/products/l-orange.html; https://www.greygoose.com/products.html,2026-06-11,https://www.greygoose.com/binaries/content/gallery/greygoose/products/l-orange/product-card-1.jpg,vodka_france
Vodka,Grey Goose,"Gensac-la-Pallue, France",Grey Goose,own_make,,FALSE,FALSE,Vodka; Citrus Flavored; Le Citron,,,,80.0,40,Winter wheat (Picardie),,,https://www.greygoose.com/products/le-citron.html; https://www.greygoose.com/products.html,2026-06-11,https://www.greygoose.com/binaries/content/gallery/greygoose/products/le-citron/product-card-1.jpg,vodka_france
Vodka,Grey Goose,"Gensac-la-Pallue, France",Grey Goose,own_make,,FALSE,FALSE,Vodka; Berry Flavored; Berry Rouge,,,,80.0,40,Winter wheat (Picardie),,,https://www.greygoose.com/products/berry-rouge.html; https://www.greygoose.com/products.html,2026-06-11,https://www.greygoose.com/binaries/content/gallery/greygoose/products/berry-rouge/fy26_global_greygoose_berryrouge.jpg,vodka_france
Vodka,Grey Goose,"Gensac-la-Pallue, France",Grey Goose,own_make,,FALSE,FALSE,Vodka; ; VX,,,,80.0,40,Winter wheat (Picardie),,,https://www.greygoose.com/faqs/which-grey-goose-products-have-been-discontinued.html,2026-06-28,NULL,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; ; Cîroc,,,,80.0,40,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/ultra-premium-vodka; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; Berry Flavored; Red Berry,,,,75.0,37.5,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/red-berry; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; Pineapple Flavored; Pineapple,,,,75.0,37.5,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/pineapple; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; Peach Flavored; Peach,,,,75.0,37.5,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/peach; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; Apple Flavored; Apple,,,,75.0,37.5,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/apple; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; Coconut Flavored; Coconut,,,,75.0,37.5,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/coconut; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; Watermelon Flavored; Summer Watermelon,,,,75.0,37.5,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/summer-watermelon; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; Citrus Flavored; Summer Limonata,,,,75.0,37.5,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/limonata; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Cîroc,"Charente, France",Cîroc,own_make,,FALSE,FALSE,Vodka; Passionfruit Flavored; Passion,,,,75.0,37.5,"Grapes (Ugni Blanc, Mauzac Blanc)",,,https://www.ciroc.com/en-us/vodkas/passion; https://www.ciroc.com/en-us/vodkas,2026-06-11,,vodka_france
Vodka,Distillerie de la Tour,"Charente, France",Pinnacle,sourced,Pinnacle,TRUE,FALSE,Vodka; ; Pinnacle,,,,80.0,40,French wheat,,,https://theliquorbarn.com/products/pinnacle-750ml; https://vino-joy.com/2022/11/26/beam-suntory-mulls-selling-pinnacle-vodka/,2026-06-27,http://theliquorbarn.com/cdn/shop/files/Pinnacle-Vodka__83802.jpg,vodka_france
Vodka,Distillerie de Gayant,"Aire-sur-la-Lys, France",Kirkland Signature French Vodka,sourced,Kirkland Signature,TRUE,FALSE,Vodka; ; French Vodka,,,,80,40,,,,https://liquorlaboratory.com/who-makes-kirkland-vodka/; https://www.foodie.com/1644839/brand-behind-costco-kirkland-vodka/,2026-06-13,,vodka_france
