spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments,own_make,,FALSE,FALSE,"Vodka; Grain, Triple Distilled; Magic Moments",,,,85.6,42.8,Triple-distilled grain,,,India's No.1 and the world's 6th-largest vodka brand; triple-distilled grain spirit.,https://radicokhaitan.com/; https://madirastore.com/magic-moments-alcohol-percentage/,2026-06-28,NULL,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Verve,own_make,,FALSE,FALSE,"Vodka; Grain, Charcoal Filtered; Verve Crystal",,,,80,40,Grain,,,Super-premium; five-stage slow filtration through silver and platinum filters.,https://radicokhaitan.com/products/magic-moment-verve-3/; https://madiradeals.com/magic-moments-alcohol-content/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/Verve-Normal-1.png,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Verve,own_make,,FALSE,FALSE,"Vodka; Grain, Green Apple Flavored; Verve Green Apple",,,,75,37.5,Grain,,,,https://radicokhaitan.com/products/magic-moment-verve-3/; https://madiradeals.com/magic-moments-alcohol-content/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/Verve-Normal-1.png,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Verve,own_make,,FALSE,FALSE,"Vodka; Grain, Lemon Lush Flavored; Verve Lemon Lush",,,,75,37.5,Grain,,,,https://radicokhaitan.com/products/magic-moment-verve-3/; https://madiradeals.com/magic-moments-alcohol-content/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/Verve-Normal-1.png,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Verve,own_make,,FALSE,FALSE,"Vodka; Grain, Orange Flavored; Verve Orange",,,,75,37.5,Grain,,,,https://radicokhaitan.com/products/magic-moment-verve-3/; https://madiradeals.com/magic-moments-alcohol-content/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/Verve-Normal-1.png,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Remix,own_make,,FALSE,FALSE,"Vodka; Grain, Orange Flavored; Remix Orange",,,,75,37.5,Triple-distilled grain,,,,https://radicokhaitan.com/products/magic-moments-remix-11/; https://madiraprice.com/magic-moments-vodka-price/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/orange.png,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Remix,own_make,,FALSE,FALSE,"Vodka; Grain, Green Apple Flavored; Remix Green Apple",,,,75,37.5,Triple-distilled grain,,,,https://radicokhaitan.com/products/magic-moments-remix-11/; https://madiraprice.com/magic-moments-vodka-price/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/orange.png,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Remix,own_make,,FALSE,FALSE,"Vodka; Grain, Lemon Flavored; Remix Lemon",,,,75,37.5,Triple-distilled grain,,,,https://radicokhaitan.com/products/magic-moments-remix-11/; https://madiraprice.com/magic-moments-vodka-price/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/orange.png,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Remix,own_make,,FALSE,FALSE,"Vodka; Grain, Lemongrass & Ginger Flavored; Remix Lemongrass & Ginger",,,,75,37.5,Triple-distilled grain,,,,https://radicokhaitan.com/products/magic-moments-remix-11/; https://madiraprice.com/magic-moments-vodka-price/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/orange.png,vodka_india
Vodka,Radico Khaitan,"Rampur, Uttar Pradesh, India",Magic Moments Remix,own_make,,FALSE,FALSE,"Vodka; Grain, Raspberry Flavored; Remix Raspberry",,,,75,37.5,Triple-distilled grain,,,,https://radicokhaitan.com/products/magic-moments-remix-11/; https://madiraprice.com/magic-moments-vodka-price/,2026-06-27,https://radicokhaitan.com/wp-content/uploads/2019/03/orange.png,vodka_india
