spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Premium (Stolichnaya Premium),own_make,,FALSE,FALSE,"Vodka; Wheat, Charcoal Filtered, Quartz Filtered; Premium",NAS,,,80,40.0,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/; https://amberlb.lv/en/production/stolichnaya-premium-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Gold,own_make,,FALSE,FALSE,Vodka; Wheat; Gold,NAS,,,80,40.0,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Gluten Free,own_make,,FALSE,FALSE,"Vodka; Corn, Buckwheat; Gluten Free",NAS,,,80,40.0,"88% corn, 12% buckwheat",,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli 100 Proof Premium,own_make,,FALSE,FALSE,"Vodka; Wheat, Overproof; 100 Proof Premium",NAS,,,100,50.0,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Citros,own_make,,FALSE,FALSE,"Vodka; Wheat, Citrus Flavored; Citros",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Vanil,own_make,,FALSE,FALSE,"Vodka; Wheat, Vanilla Flavored; Vanil",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Razberi,own_make,,FALSE,FALSE,"Vodka; Wheat, Raspberry Flavored; Razberi",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Blueberi,own_make,,FALSE,FALSE,"Vodka; Wheat, Blueberry Flavored; Blueberi",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Ohranj,own_make,,FALSE,FALSE,"Vodka; Wheat, Orange Flavored; Ohranj",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Salted Karamel,own_make,,FALSE,FALSE,"Vodka; Wheat, Salted Caramel Flavored; Salted Karamel",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Cucumber,own_make,,FALSE,FALSE,"Vodka; Wheat, Cucumber Flavored; Cucumber",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Strasberi,own_make,,FALSE,FALSE,"Vodka; Wheat, Strawberry Flavored; Strasberi",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Peachik,own_make,,FALSE,FALSE,"Vodka; Wheat, Peach Flavored; Peachik",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Stoli Hot,own_make,,FALSE,FALSE,"Vodka; Wheat, Pepper Flavored; Hot",NAS,,,75,37.5,Wheat,,,https://stoli-group.com/portfolio/stoli-vodka/,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",elit by Stoli,own_make,,FALSE,FALSE,Vodka; Wheat; elit,NAS,,,80,40.0,Winter wheat (Tambov region),,,https://stoli-group.com/portfolio/elit/; https://theliquorbarn.com/products/stoli-elit-vodka-750ml,2026-06-27,http://theliquorbarn.com/cdn/shop/files/stolichnaya_elit_750.webp,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",elit by Stoli Pristine Water Series Himalayan Edition,own_make,,FALSE,FALSE,Vodka; Wheat; elit Pristine Water Series Himalayan Edition,NAS,,Pristine Water Series Himalayan Edition (300 bottles),80,40.0,Winter wheat (Tambov region),,,https://www.charitybuzz.com/catalog_items/auction-limited-edition-bottle-of-elit-by-314625; https://luxurylaunches.com/other_stuff/elit_by_stolichnaya_launches_the_himalayan_edition_vodka.php,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",Moskovskaya,own_make,,FALSE,FALSE,Vodka; Wheat; Moskovskaya Osobaya,NAS,,,80,40.0,Wheat,,,https://amberbev.com/brand-news/moskovskaya-vodka-setting-the-record-straight/; https://www.diffordsguide.com/beer-wine-spirits/2049/moskovskaya-vodka,2026-06-28,NULL,vodka_latvia
Vodka,Latvijas Balzams (Amber Beverage Group),"Riga, Latvia",LB Vodka,own_make,,FALSE,FALSE,Vodka; Grain; LB Vodka,NAS,,,80,40.0,Grain,,,https://www.diffordsguide.com/producers/583/latvijas-balzams-as; https://amberlb.lv/en/,2026-06-28,NULL,vodka_latvia
