spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vodka,Nolet Distillery,"Schiedam, Netherlands",Ketel One,own_make,,FALSE,FALSE,Vodka; ; Ketel One,,,,80.0,40,Wheat,,,"Nolet family wheat vodka, copper pot still no.1.",https://www.ketelone.com/; https://www.masterofmalt.com/vodka/ketel-one/ketel-one-vodka/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/26971_source_1782496246.jpg,vodka_netherlands
Vodka,Nolet Distillery,"Schiedam, Netherlands",Ketel One,own_make,,FALSE,FALSE,Vodka; Citrus Flavored; Citroen,,,,80.0,40,Wheat,,,Lemon and lime infused.,https://www.caskers.com/ketel-one-citroen-vodka-1750/,2026-06-27,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/K/e/Ketel-One-Citroen-Vodka_-Netherlands.png,vodka_netherlands
Vodka,Nolet Distillery,"Schiedam, Netherlands",Ketel One,own_make,,FALSE,FALSE,Vodka; Citrus Flavored; Oranje,,,,80.0,40,Wheat,,,Valencia orange infused.,https://www.diffordsguide.com/beer-wine-spirits/1121/ketel-one-oranje-vodka,2026-06-27,https://cdn.diffords.com/contrib/bws/2019/09/5d6ce1dd4f090.jpg,vodka_netherlands
Vodka,Hooghoudt,"Groningen, Netherlands",Effen,sourced,Effen,TRUE,FALSE,Vodka; ; Effen,,,,80.0,40,Wheat,,,"Dutch wheat vodka, distilled at Hooghoudt (Beam Suntory brand).",https://www.effenvodka.com/vodka-flavors/original-premium-vodka/; https://www.effenvodka.com/,2026-06-11,,vodka_netherlands
Vodka,Hooghoudt,"Groningen, Netherlands",Effen,sourced,Effen,TRUE,FALSE,Vodka; Cucumber Flavored; Cucumber,,,,75.0,37.5,Wheat,,,Flavoured wheat vodka (37.5%).,https://www.effenvodka.com/; https://www.caskers.com/effen-cucumber-vodka/,2026-06-27,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/e/f/effen-cucumber-vodka-1_2.jpg,vodka_netherlands
Vodka,Hooghoudt,"Groningen, Netherlands",Effen,sourced,Effen,TRUE,FALSE,Vodka; Cherry Flavored; Black Cherry,,,,75.0,37.5,Wheat,,,Flavoured wheat vodka (37.5%).,https://www.effenvodka.com/; https://www.caskers.com/effen-cucumber-vodka/,2026-06-27,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/e/f/effen-cucumber-vodka-1_2.jpg,vodka_netherlands
Vodka,Hooghoudt,"Groningen, Netherlands",Effen,sourced,Effen,TRUE,FALSE,Vodka; Orange Flavored; Blood Orange,,,,75.0,37.5,Wheat,,,Flavoured wheat vodka (37.5%).,https://www.effenvodka.com/; https://www.caskers.com/effen-cucumber-vodka/,2026-06-27,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/e/f/effen-cucumber-vodka-1_2.jpg,vodka_netherlands
Vodka,Hooghoudt,"Groningen, Netherlands",Effen,sourced,Effen,TRUE,FALSE,Vodka; Raspberry Flavored; Raspberry,,,,75.0,37.5,Wheat,,,Flavoured wheat vodka (37.5%).,https://www.effenvodka.com/; https://www.caskers.com/effen-cucumber-vodka/,2026-06-27,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/e/f/effen-cucumber-vodka-1_2.jpg,vodka_netherlands
Vodka,Hooghoudt,"Groningen, Netherlands",Effen,sourced,Effen,TRUE,FALSE,Vodka; Apple Flavored; Green Apple,,,,75.0,37.5,Wheat,,,Flavoured wheat vodka (37.5%).,https://www.effenvodka.com/; https://www.caskers.com/effen-cucumber-vodka/,2026-06-27,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/e/f/effen-cucumber-vodka-1_2.jpg,vodka_netherlands
Vodka,Hooghoudt,"Groningen, Netherlands",Effen,sourced,Effen,TRUE,FALSE,Vodka; Citrus Flavored; Yuzu Citrus,,,,75.0,37.5,Wheat,,,Flavoured wheat vodka (37.5%).,https://www.effenvodka.com/; https://www.caskers.com/effen-cucumber-vodka/,2026-06-27,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/e/f/effen-cucumber-vodka-1_2.jpg,vodka_netherlands
Vodka,Lucas Bols,"Amsterdam, Netherlands",Bols,own_make,,FALSE,FALSE,Vodka; ; Vodka Amsterdam,,,,80.0,40,Wheat,,,"100% grain wheat vodka, charcoal filtered.",https://distiller.com/spirits/bols-amsterdam-1575-vodka; https://bols.com/,2026-06-28,NULL,vodka_netherlands
