spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,Polska Wódka; Rye; Pure,,,,80,40.0,Rye 100%,,,"Structured and elegant with hints of almond, vanilla, and white pepper followed by a smooth velvety finish.",https://www.belvederevodka.com/en-us/belvedere-vodkas-and-spirits,2026-06-28,NULL,vodka_poland
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,"Polska Wódka; Rye, Smoked; Heritage 176",,,,80,40.0,Rye 100% (incl. 2% malted rye fire-kilned at 176F),,,"Hints of honey, walnut and allspice; best savored over ice with a lemon twist.",https://www.belvederevodka.com/en-int/collection/vodka/heritage-176/; https://www.masterofmalt.com/blog/post/getting-a-taste-of-vodkas-past-with-belvedere-heritage-176.aspx/,2026-06-28,NULL,vodka_poland
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,"Polska Wódka; Single Estate, Rye; Smogóry Forest",,,,80,40.0,"Rye 100% (Dankowskie Diamond rye, Smogóry single estate)",,,"Aromas of sea air, toasted rye bread and caramel; salted caramel, cereal and a touch of honey; persistent notes of toasted bread, white pepper and fudge.",https://www.belvederevodka.com/en-us/collection/vodka/single-estate-rye-smogory-forest/,2026-06-11,,vodka_poland
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,"Polska Wódka; Single Estate, Rye; Lake Bartężek",,,,80,40.0,"Rye 100% (Dankowskie Diamond rye, Lake Bartężek single estate)",,,"Nose: freshly cut rye grain, grass, hint of almond. Palate: medium bodied, spearmint, fresh hay, hint of biscuit. Finish: clean and crisp, menthol, fresh grass and rye bread.",https://www.belvederevodka.com/en-us/collection/vodka/belvedere-single-estate-rye-lake-bartek/,2026-06-27,https://www.belvederevodka.com/sites/default/files/2022-11/product-lake-bartezek.png,vodka_poland
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,"Polska Wódka; Single Estate, Rye; Belvedere 10",,,,80,40.0,Rye 100% (single harvest from one rye field),,,"Exceptionally rare, crafted from the single harvest of one rye field alone.",https://www.belvederevodka.com/en-us/luxury-belvedere-10/; https://www.belvederevodka.com/en-us/belvedere-vodkas-and-spirits,2026-06-28,NULL,vodka_poland
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,"Vodka; Organic, Blackberry Flavored; Blackberry & Lemongrass",,,,80,40.0,"Rye 100% (organic) with organic blackberry, lemongrass, sage",,,Blackberry and lemongrass with a hint of sage.,https://www.belvederevodka.com/en-us/collection/vodka/blackberry-and-lemongrass/; https://www.thespiritsbusiness.com/2021/05/belvedere-debuts-organic-infusions-line/,2026-06-28,NULL,vodka_poland
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,"Vodka; Organic, Lemon Flavored; Lemon & Basil",,,,80,40.0,"Rye 100% (organic) with organic lemon, basil, elderflower",,,Lemon and basil with a touch of elderflower.,https://www.belvederevodka.com/en-us/organic-infusions; https://www.thedrinksbusiness.com/2021/05/belvedere-announces-the-launch-of-its-organic-infusions-line/,2026-06-28,NULL,vodka_poland
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,"Vodka; Organic, Pear Flavored; Pear & Ginger",,,,80,40.0,"Rye 100% (organic) with organic pear, ginger, linden honey",,,Pear and ginger with a drop of linden honey.,https://www.belvederevodka.com/en-us/organic-infusions; https://www.thedrinksbusiness.com/2021/05/belvedere-announces-the-launch-of-its-organic-infusions-line/,2026-06-28,NULL,vodka_poland
Vodka,Polmos Żyrardów,"Żyrardów, Poland",Belvedere,own_make,,FALSE,FALSE,Vodka; Rye; Night Saber,,,,80,40.0,"Rye 100% (Dankowskie Gold rye, distilled four times)",,,Faint hints of vanilla and gentle soft cream.,https://www.belvederevodka.com/en-int/collection/vodka/belvedere-night-saber; https://chilledmagazine.com/belvedere-vodka-introduces-midnight-saber-bottle/,2026-06-28,NULL,vodka_poland
Vodka,Chopin,"Krzesk, Poland",Chopin,own_make,,FALSE,FALSE,Polska Wódka; Potato; Potato,,,,80,40.0,Potato 100%,,,"Full-bodied potato vodka; one of three single-ingredient pillars (Potato, Rye, Wheat).",https://chopinvodka.com/product/chopin-potato-vodka/; https://chopinvodka.com/individual-collection/,2026-06-27,https://chopinvodka.com/wp-content/uploads/2022/11/ChopinPotatoVodka-NoShadow-1.webp,vodka_poland
