spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Vodka,Russian Standard,"St. Petersburg, Russia",Russian Standard Original,own_make,,FALSE,FALSE,"Vodka; Wheat, Charcoal Filtered; Original",NAS,,,80,40.0,Wheat,,,https://www.masterofmalt.com/vodka/russian-standard/russian-standard-vodka/,2026-06-11,,vodka_russia
Vodka,Russian Standard,"St. Petersburg, Russia",Russian Standard Gold,own_make,,FALSE,FALSE,Vodka; Wheat; Gold,NAS,,,80,40.0,Wheat,,,https://drinksenthusiast.com/2015/06/18/russian-standard/,2026-06-28,NULL,vodka_russia
Vodka,Russian Standard,"St. Petersburg, Russia",Russian Standard Platinum,own_make,,FALSE,FALSE,"Vodka; Wheat, Charcoal Filtered; Platinum",NAS,,,80,40.0,Wheat,,,http://honestboozereviews.com/russian-standard-platinum-vodka/,2026-06-27,http://honestboozereviews.com/wp-content/uploads/2010/11/Russian-Standard-Platinum-Vodka-Fmt-225x300.png,vodka_russia
Vodka,Russian Standard,"St. Petersburg, Russia",Russian Standard Imperia,own_make,,FALSE,FALSE,Vodka; Quartz Filtered; Imperia,NAS,,,80,40.0,Wheat,,,https://vodkabuzz.com/vodkas/imperia/,2026-06-27,https://vodkabuzz.com/uploads/2008/04/imperia-640x853.jpg,vodka_russia
Vodka,Mariinsky Distillery (Novabev/Beluga),"Mariinsk, Siberia, Russia",Beluga Noble,own_make,,FALSE,FALSE,Vodka; Grain; Noble,NAS,,,80,40.0,Malt spirit (grain),,,https://novabev.com/en/brands/vodka/beluga/; https://vodka-beluga.com/product/beluga-noble/,2026-06-27,https://vodka-beluga.com/wp-content/uploads/2024/06/BN_0.7.png,vodka_russia
Vodka,Mariinsky Distillery (Novabev/Beluga),"Mariinsk, Siberia, Russia",Beluga Transatlantic Racing,own_make,,FALSE,FALSE,Vodka; Grain; Transatlantic Racing,NAS,,,80,40.0,Malt spirit (grain),,,https://vodka-beluga.com/product/beluga-transatlantic-racing/; https://www.masterofmalt.com/distilleries/beluga-spirits/,2026-06-27,https://vodka-beluga.com/wp-content/uploads/2024/06/BTR_0.7L.png,vodka_russia
Vodka,Mariinsky Distillery (Novabev/Beluga),"Mariinsk, Siberia, Russia",Beluga Allure,own_make,,FALSE,FALSE,Vodka; Grain; Allure,NAS,,,80,40.0,Malt spirit (grain),,,https://vodka-beluga.com/product/beluga-allure/; https://novabev.com/en/brands/vodka/beluga/,2026-06-28,NULL,vodka_russia
Vodka,Mariinsky Distillery (Novabev/Beluga),"Mariinsk, Siberia, Russia",Beluga Gold Line,own_make,,FALSE,FALSE,Vodka; Grain; Gold Line,NAS,,,80,40.0,Malt spirit (grain),,,https://vodka-beluga.com/product/beluga-gold-line/; https://novabev.com/en/brands/vodka/beluga/,2026-06-28,NULL,vodka_russia
Vodka,Mariinsky Distillery (Novabev/Beluga),"Mariinsk, Siberia, Russia",Beluga Celebration,own_make,,FALSE,FALSE,Vodka; Grain; Celebration,NAS,,,80,40.0,Malt spirit (grain),,,https://vodka-beluga.com/product/beluga-celebration/; https://novabev.com/en/brands/vodka/beluga/,2026-06-28,NULL,vodka_russia
Vodka,Mariinsky Distillery (Novabev/Beluga),"Mariinsk, Siberia, Russia",Beluga Noble Winter x St. Moritz,own_make,,FALSE,FALSE,Vodka; Grain; Noble Winter x St. Moritz,NAS,,,80,40.0,Malt spirit (grain),,,https://vodka-beluga.com/noble-winter-x-st-moritz/,2026-06-11,https://vodka-beluga.com/wp-content/uploads/2024/12/VBN1791101_1-1.png,vodka_russia
