spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vodka,Copeland,"Donaghadee, Co. Down, Northern Ireland",Copeland Vodka,own_make,,FALSE,FALSE,Vodka; ; Copeland Vodka,,,,,,,,,Copeland vodka [Copeland],https://copelanddistillery.com/product-category/vodka/,2026-06-06,,vodka_united_kingdom
Vodka,Boatyard,"Enniskillen, Co. Fermanagh, Northern Ireland",Boatyard Vodka,own_make,,FALSE,FALSE,Vodka; ; Boatyard Vodka,,,,,,organic wheat spirit,,,Organic wheat-based vodka [Boatyard],https://www.boatyarddistillery.com/range/boatyard-vodka,2026-06-06,,vodka_united_kingdom
Vodka,Moorland Spirit Co.,"Hepple, Northumberland, England",Hepple,own_make,,FALSE,FALSE,Vodka; Foraged Botanicals; Douglas Fir Vodka,,,,82,41,,,,Douglas fir-led vodka.,https://hepplespirits.com/,2026-06-09,,vodka_united_kingdom
Vodka,Penderyn Distillery,"Penderyn, Wales",Brecon,own_make,,FALSE,FALSE,Vodka; ; Five Vodka,,,,80,40,,,,Brecon Welsh vodka.,https://www.penderyn.wales/,2026-06-09,,vodka_united_kingdom
Vodka,English Spirit Distillery,"Great Yeldham, Essex, England",English Spirit,own_make,,FALSE,FALSE,Vodka; Sugar Beet; Sugar Beet Vodka,,,,80,40,,,,Sugar-beet vodka.,https://englishspirit.uk/,2026-06-28,NULL,vodka_united_kingdom
Vodka,The Lakes Distillery,"Setmurthy, Cumbria, England",The Lakes,own_make,,FALSE,FALSE,Vodka; ; The Lakes,,,,80.0,40,British wheat,,,"Ultra-smooth English wheat vodka, triple-distilled; World's Best Vodka 2019.",https://lakesdistillery.com/products/the-lakes-vodka; https://www.masterofmalt.com/vodka/the-lakes-distillery/the-lakes-vodka/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/27680_source_1782085251.jpg,vodka_united_kingdom
Vodka,Chase Distillery,"Rosemaund Farm, Hereford, England",Chase,own_make,,FALSE,FALSE,Vodka; Potato; Original Potato,,,,80.0,40,Potato (single estate),,,"Single-estate potato vodka, Lady Claire / King Edward varieties.",https://williamschase.co.uk/collections/types_q-Vodka; https://www.thewhiskyexchange.com/p/26972/chase-original-potato-vodka,2026-06-27,https://img.thewhiskyexchange.com/540/vodka_cha14.jpg,vodka_united_kingdom
Vodka,Chase Distillery,"Rosemaund Farm, Hereford, England",Chase,own_make,,FALSE,FALSE,Vodka; Smoked; Smoked Vodka,,,,80.0,40,Potato (single estate),,,Chase vodka blended with oak-smoked water.,https://williamschase.co.uk/collections/types_q-Vodka,2026-06-11,,vodka_united_kingdom
Vodka,Chase Distillery,"Rosemaund Farm, Hereford, England",Chase,own_make,,FALSE,FALSE,Vodka; ; Marmalade Vodka,,,,80.0,40,Potato (single estate),,,Seville and Valencian orange peel.,https://williamschase.co.uk/collections/types_q-Vodka,2026-06-11,,vodka_united_kingdom
Vodka,Chase Distillery,"Rosemaund Farm, Hereford, England",Chase,own_make,,FALSE,FALSE,Vodka; ; Rhubarb Vodka,,,,80.0,40,Potato (single estate),,,Herefordshire rhubarb.,https://williamschase.co.uk/collections/types_q-Vodka,2026-06-11,,vodka_united_kingdom
Vodka,Sipsmith,"Chiswick, London, England",Sipsmith,own_make,,FALSE,FALSE,Vodka; ; Sipping Vodka,,,,80.0,40,Barley,,,Barley-based sipping vodka.,https://www.thetipplecellar.com/vodka-bottles/sipsmith-sipping-vodka-70cl-40/; https://www.sipsmith.com/,2026-06-27,https://www.thetipplecellar.com/image_resize/back/w450/h450/products/5412/sipsmith-70cl-sipping-vodka-fop-copy1.png,vodka_united_kingdom
Vodka,Black Cow,"West Dorset, England",Black Cow,own_make,,FALSE,FALSE,Vodka; Whey; Pure Milk Vodka,,,,80.0,40,Whey (cow's milk),,,Made entirely from cow's milk whey; creamy character.,https://www.blackcow.co.uk/; https://thebeveragemerchants.co.uk/products/black-cow-vodka,2026-06-28,NULL,vodka_united_kingdom
Vodka,Arbikie Distillery,"Inverkeilor, Angus, Scotland",Arbikie,own_make,,FALSE,FALSE,Vodka; Potato; Tattie Bogle Potato Vodka,,,,86.0,43,Potato (single estate),,,"Field-to-bottle single-estate potato vodka (Maris Piper, King Edward, Cultra).",https://arbikie.com/; https://distillers.scot/our-members/member-arbikie/,2026-06-11,,vodka_united_kingdom
Vodka,Arbikie Distillery,"Inverkeilor, Angus, Scotland",Arbikie,own_make,,FALSE,FALSE,Vodka; Wheat; Haar Wheat Vodka,,,,86.0,43,"Wheat (single estate, Zulu)",,,Single-estate Zulu wheat vodka.,https://arbikie.com/; https://distillers.scot/our-members/member-arbikie/,2026-06-11,,vodka_united_kingdom
Vodka,Ramsbury Single Estate Distillery,"Ramsbury, Wiltshire, England",Ramsbury,own_make,,FALSE,FALSE,Vodka; Single Estate; Single Estate Vodka,,,,86.0,43,Wheat (single estate),,,"Estate-grown wheat, chalk-filtered spring water.",https://www.ramsbury.com/; https://farehamwinecellar.co.uk/,2026-06-11,,vodka_united_kingdom
Vodka,Smirnoff (Diageo),United Kingdom,Smirnoff,own_make,,FALSE,FALSE,Vodka; ; No. 21 Red Label,,,,75.0,37.5,Grain,,,"Triple-distilled, 10x filtered; Made in Great Britain (UK plant).",https://www.diageobaracademy.com/en-zz/home/our-brands/smirnoff-no21; https://www.amazon.co.uk/Smirnoff-Label-Triple-Distilled-Vodka/dp/B00439VO6I,2026-06-28,NULL,vodka_united_kingdom
Vodka,Undisclosed (England),"England, United Kingdom",Three Olives,sourced,Three Olives,TRUE,FALSE,Vodka; Wheat; Three Olives,,,,80,40,English winter wheat,,,Proximo Spirits brand; quadruple-distilled English winter wheat. Per 2023 rebrand reportedly now US-produced - confirm + re-route if completed.,https://proximospirits.com/brands/three-olives/; https://winenliquor.com/p/three-olives-vodka-1-75l/,2026-06-28,NULL,vodka_united_kingdom
