spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vodka,Hotel Tango Distillery,"Indianapolis, IN",Hotel Tango Victor Vodka,own_make,NULL,FALSE,FALSE,Vodka; Corn; Victor,NULL,NULL,NULL,80,40.0,100% Indiana corn,NULL,NULL,Clean. Smooth. Approachability befitting its Hoosier origins.,https://hoteltangodistillery.com/spirits/ ; https://distiller.com/spirits/hotel-tango-victor-vodka,2026-05-30,NULL,vodka_united_states
Vodka,Fenwicks Distillery,"Rensselaer, IN",Reveal Vodka,own_make,NULL,FALSE,FALSE,Vodka; Grain; Reveal,NULL,NULL,NULL,NULL,NULL,Neutral grains (7x distilled),NULL,NULL,Clean and crisp.,https://fenwicksdistillery.com/fenwicks-distillery-spirits/,2026-05-30,NULL,vodka_united_states
Vodka,Fifth Generation,"Austin, TX",Tito's Handmade Vodka,own_make,NULL,FALSE,FALSE,Vodka; Corn; Handmade,NULL,NULL,NULL,80,40.0,100% corn,NULL,NULL,"Clean, smooth, slightly sweet.",https://www.titosvodka.com/,2026-06-12,NULL,vodka_united_states
Vodka,Skyy Spirits,"San Jose, CA",Skyy,sourced,NULL,FALSE,FALSE,Vodka; Grain; Skyy,NULL,NULL,NULL,80,40.0,American grain (winter wheat),NULL,NULL,NULL,https://theliquorbarn.com/products/skyy-vodka-750ml,2026-06-12,NULL,vodka_united_states
Vodka,Hangar 1 Distillery,"Alameda, CA",Hangar 1,own_make,NULL,FALSE,FALSE,"Vodka; Grape, Grain; Straight",NULL,NULL,NULL,80,40.0,Viticultural grapes + Midwestern grain,NULL,NULL,NULL,https://hangarone.com/vodkas/,2026-06-12,NULL,vodka_united_states
Vodka,Hangar 1 Distillery,"Alameda, CA",Hangar 1,own_make,NULL,FALSE,FALSE,"Vodka; Single Estate, Fog Water; Fog Point",NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,Citrus and pear with a honeysuckle finish.,https://hangarone.com/vodkas/,2026-06-12,NULL,vodka_united_states
Vodka,Hangar 1 Distillery,"Alameda, CA",Hangar 1,own_make,NULL,FALSE,FALSE,Vodka; Citron Flavored; Buddha's Hand Citron,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,"Jasmine, basil, apricot.",https://hangarone.com/vodkas/,2026-06-12,NULL,vodka_united_states
Vodka,Hangar 1 Distillery,"Alameda, CA",Hangar 1,own_make,NULL,FALSE,FALSE,Vodka; Orange Flavored; Mandarin Blossom,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,"Honey, rosewater, satsuma.",https://hangarone.com/spirits/mandarin-blossom-vodka/,2026-06-12,NULL,vodka_united_states
Vodka,Hangar 1 Distillery,"Alameda, CA",Hangar 1,own_make,NULL,FALSE,FALSE,Vodka; Lime Flavored; Makrut Lime,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,"Lime, wood, white pepper, cucumber.",https://hangarone.com/spirits/makrut-lime-vodka/,2026-06-12,NULL,vodka_united_states
Vodka,Death's Door Spirits,"Middleton, WI",Death's Door Vodka,own_make,NULL,FALSE,FALSE,"Vodka; Wheat, Barley; Death's Door",NULL,NULL,NULL,80,40.0,Washington Island wheat + malted barley,NULL,NULL,NULL,https://www.diffordsguide.com/beer-wine-spirits/4718/deaths-door-vodka,2026-06-12,NULL,vodka_united_states
Vodka,St. George Spirits,"Alameda, CA",St. George,own_make,NULL,FALSE,FALSE,Vodka; ; All Purpose,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,NULL,https://stgeorgespirits.com/spirits/all-purpose-vodka,2026-06-12,NULL,vodka_united_states
Vodka,St. George Spirits,"Alameda, CA",St. George,own_make,NULL,FALSE,FALSE,Vodka; Citrus Flavored; California Citrus,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,NULL,https://stgeorgespirits.com/spirits/california-citrus-vodka,2026-06-12,NULL,vodka_united_states
Vodka,St. George Spirits,"Alameda, CA",St. George,own_make,NULL,FALSE,FALSE,Vodka; Chile Flavored; Green Chile,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,NULL,https://stgeorgespirits.com/spirits/green-chile-vodka,2026-06-12,NULL,vodka_united_states
Vodka,Caledonia Spirits,"Montpelier, VT",Barr Hill Vodka,own_make,NULL,FALSE,FALSE,Vodka; Honey; Barr Hill,NULL,NULL,NULL,80,40.0,Distilled from raw honey,NULL,NULL,NULL,https://www.barrhill.com/products/barr-hill-vodka,2026-06-12,NULL,vodka_united_states
Vodka,Cardinal Spirits,"Bloomington, IN",Lake House Vodka,own_make,NULL,FALSE,FALSE,Vodka; ; Lake House,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.cardinalspirits.com/,2026-06-12,NULL,vodka_united_states
Vodka,Koval Distillery,"Chicago, IL",Koval Vodka,own_make,NULL,FALSE,FALSE,"Vodka; Rye, Organic; Koval",NULL,NULL,NULL,80,40.0,100% organic rye,NULL,NULL,NULL,https://theliquorbarn.com/products/koval-vodka-750ml,2026-06-12,NULL,vodka_united_states
Vodka,Philadelphia Distilling,"Philadelphia, PA",The Bay Vodka,own_make,NULL,FALSE,FALSE,Vodka; ; The Bay,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,NULL,https://www.philadelphiadistilling.com/the-bay-vodka,2026-06-12,NULL,vodka_united_states
Vodka,Philadelphia Distilling,"Philadelphia, PA",Penn 1681 Vodka,own_make,NULL,FALSE,FALSE,Vodka; Rye; Penn 1681,NULL,NULL,NULL,80,40.0,Pennsylvania rye,NULL,NULL,NULL,https://www.philadelphiadistilling.com/penn-1681-rye-vodka,2026-06-12,NULL,vodka_united_states
Vodka,ASW Distillery,"Atlanta, GA",Hunker Vodka,own_make,NULL,FALSE,FALSE,Vodka; ; Hunker,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,NULL,https://www.aswdistillery.com/hunker-spirits,2026-06-12,NULL,vodka_united_states
Vodka,ASW Distillery,"Atlanta, GA",Bustletown Vodka,own_make,NULL,FALSE,FALSE,Vodka; ; Bustletown,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,NULL,https://www.aswdistillery.com/our-spirits-2024,2026-06-12,NULL,vodka_united_states
Vodka,The Better Man Distilling Co.,"Patchogue, NY",Starling Vodka,own_make,NULL,FALSE,FALSE,Vodka; ; Starling,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.thebettermandistillingco.com/starlingvodka,2026-06-12,NULL,vodka_united_states
Vodka,1911 Established,"LaFayette, NY",1911 Vodka,own_make,NULL,FALSE,FALSE,Vodka; Apple; 1911,NULL,NULL,NULL,NULL,NULL,Apple-based,NULL,NULL,NULL,https://1911established.com/our-orchard/1911-distillery/,2026-06-12,NULL,vodka_united_states
Vodka,Hollerhorn Distilling,"Naples, NY",Ryeval Vodka,own_make,NULL,FALSE,FALSE,Vodka; Rye; Ryeval,NULL,NULL,NULL,80,40.0,Local Danko rye,NULL,NULL,"Soft, delicate fruity nose; subtle sweet finish.",https://www.hollerhorn.com/new-page-3,2026-06-12,NULL,vodka_united_states
Vodka,Hollerhorn Distilling,"Naples, NY",Etheryeal Vodka,own_make,NULL,FALSE,FALSE,"Vodka; Rye, Peated; Etheryeal",NULL,NULL,NULL,NULL,NULL,Local Danko rye (NYS-peat smoked malt),NULL,NULL,"Delicate, subtle smokiness.",https://www.hollerhorn.com/new-page-3,2026-06-12,NULL,vodka_united_states
