spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,Sullivans Cove Distillery,"Cambridge, Tasmania",Sullivans Cove,own_make,,FALSE,TRUE,Single Malt; Single Cask; American Oak,NAS,,,,,100% malted barley,American oak ex-bourbon barrel,,,https://sullivanscove.com/collections/american-oak-whisky,2026-06-26,http://sullivanscove.com/cdn/shop/collections/OR_AO_1775x1774_c22ec982-2b35-4e17-923f-c007f6f5b856.jpg,world_whiskey_australia
World Whiskey,Sullivans Cove Distillery,"Cambridge, Tasmania",Sullivans Cove,own_make,,FALSE,TRUE,Single Malt; Single Cask; French Oak,NAS,,,,,100% malted barley,French oak,,,https://sullivanscove.com/collections/french-oak-whisky,2026-06-26,http://sullivanscove.com/cdn/shop/collections/OR_FO_1775x1774_ea668000-59b1-4c25-a577-241bcaf561d8.jpg,world_whiskey_australia
World Whiskey,Sullivans Cove Distillery,"Cambridge, Tasmania",Sullivans Cove,own_make,,FALSE,TRUE,Single Malt; Double Cask,NAS,,,,,100% malted barley,American oak ex-bourbon barrel + French oak,,,https://sullivanscove.com/collections/double-cask-whisky,2026-06-26,http://sullivanscove.com/cdn/shop/collections/OR_DC_1775x1774_55de2330-df08-492d-892d-5822cc6eca20.jpg,world_whiskey_australia
World Whiskey,Sullivans Cove Distillery,"Cambridge, Tasmania",Sullivans Cove,own_make,,FALSE,TRUE,Single Malt; Single Cask; Old & Rare; American Oak,NAS,,,,,100% malted barley,American oak ex-bourbon barrel (minimum 16yr maturation),,,https://sullivanscove.com/collections/old-and-rare-whisky,2026-06-26,http://sullivanscove.com/cdn/shop/collections/OurRange-OlderCasks-1774x1774.png,world_whiskey_australia
World Whiskey,Sullivans Cove Distillery,"Cambridge, Tasmania",Sullivans Cove,own_make,,FALSE,TRUE,Single Malt; Single Cask; Old & Rare; French Oak,NAS,,,,,100% malted barley,French oak port pipe (minimum 16yr maturation),,,https://sullivanscove.com/collections/old-and-rare-whisky,2026-06-26,http://sullivanscove.com/cdn/shop/collections/OurRange-OlderCasks-1774x1774.png,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Classic Cask,NAS,,,86.0,43.0,100% malted barley (Australian),Ex-tawny port cask,,,https://larkdistillery.com/products/classic-cask,2026-06-26,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Cask Strength,NAS,,,116.0,58.0,100% malted barley (Australian),Ex-tawny port cask,,,https://larkdistillery.com/products/cask-strength,2026-06-26,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Blended Malt; Symphony Nº1,NAS,,,80.4,40.2,100% malted barley (Australian; multiple cask types blended),Multiple cask types (bourbon + sherry + port),,,https://larkdistillery.com/products/symphony-no1,2026-06-26,https://cdn.shopify.com/s/files/1/0492/9857/1425/products/Symphony-500ml_2022.png,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Chinotto Cask II,NAS,,,,,100% malted barley,,Chinotto cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Cask Strength; Chinotto Cask II Cask Strength,NAS,,,,,100% malted barley,,Chinotto cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Muscat Cask Finish II,NAS,,,,,100% malted barley,,Muscat cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Rum & PX Sherry Finish,NAS,,,,,100% malted barley,,Rum cask + PX sherry cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Para 1992 Cask Finish,NAS,,,,,100% malted barley,,Seppeltsfield Para 1992 Tawny cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Para 50 II Rare Cask,NAS,,,,,100% malted barley,,Seppeltsfield Para 50 Tawny cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Amaro Cask,NAS,,,,,100% malted barley,,Amaro cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Wolf Release IV,NAS,,,,,100% malted barley,,,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Brandy & PX Sherry Cask,NAS,,,,,100% malted barley,,Brandy cask + PX sherry cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Tokay 100 Rare Cask,NAS,,,,,100% malted barley,,Tokay Rutherglen cask,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
World Whiskey,Lark Distillery,"Hobart, Tasmania",Lark,own_make,,FALSE,FALSE,Single Malt; Legacy Cask,20 Years,,HHF587A,,,100% malted barley,,,,https://larkdistillery.com/collections/whisky,2026-06-28,NULL,world_whiskey_australia
