spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt,NAS,NULL,NULL,86,43.0,NULL,Ex-bourbon oak,NULL,https://www.englishwhisky.co.uk/products/the-english-original,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/the-english-original-great-taste.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Smokey,NAS,NULL,NULL,86,43.0,NULL,Ex-bourbon oak,NULL,https://www.englishwhisky.co.uk/products/the-english-smokey,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/the-english-smokey-award.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt; Sherry Cask,NAS,NULL,NULL,92,46.0,NULL,First fill PX Sherry,NULL,https://www.englishwhisky.co.uk/products/the-english-sherry-cask-matured,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/the-english-sherry-cask-award.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt,11 Years,NULL,NULL,92,46.0,NULL,Ex-bourbon oak,NULL,https://www.englishwhisky.co.uk/products/the-english-11-year-old,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/the-english-11-year-old-new-bottle.png,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Gently Smoked Sherry Hogshead,NAS,NULL,NULL,92,46.0,NULL,Sherry Hogshead,NULL,https://www.englishwhisky.co.uk/products/the-english-gently-smoked-sherry-hogshead,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/the-english-gently-smoked-sherry-hogshead-worlds-best.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Heavily Smoked Cask Fusion,NAS,NULL,NULL,92,46.0,NULL,4-cask blend (undisclosed),NULL,https://www.englishwhisky.co.uk/products/the-english-cask-fusion-heavily-peated-sb-4-24,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/the-english-heavily-smoked-cask-fusion.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt; Chapter 18,NAS,NULL,NULL,92,46.0,NULL,ASB ex-bourbon; PX Sherry; Virgin Oak,NULL,https://www.englishwhisky.co.uk/products/the-english-chapter-18,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/chapter-18-award.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt; VE-Day 80th Anniversary,NAS,NULL,NULL,92,46.0,NULL,First fill ex-bourbon; Virgin Oak,NULL,https://www.englishwhisky.co.uk/products/the-english-ve-day-80th-anniversary,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/the-english-ve-day-80th-anniversary.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt; Rum Cask Matured,NAS,NULL,NULL,92,46.0,NULL,Ex-rum cask,NULL,https://www.englishwhisky.co.uk/products/the-english-rum-cask-matured-1,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/the-english-rum-cask-small-batch-1.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,FALSE,Single Malt; Wine Cask Matured,NAS,NULL,NULL,92,46.0,NULL,Second-fill wine casks,NULL,https://www.englishwhisky.co.uk/products/the-english-wine-cask-matured,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/wine-cask-matured-small-batch-1.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",Founders' Private Cellar,own_make,NULL,FALSE,FALSE,Single Malt; Single Cask; 16yr Quarter Cask,16 Years,NULL,NULL,113,56.5,NULL,"Quarter cask (100L, second-fill ex-bourbon)",NULL,https://www.englishwhisky.co.uk/products/founders-private-cellar-16-year-old-quarter-cask,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/founders-private-cellar-16-year-old-quarter-cask.jpg,world_whiskey_england
World Whiskey,English Whisky Co. (St. George's Distillery),"Roudham, England",The English,own_make,NULL,FALSE,TRUE,Single Malt; Single Cask,NAS,NULL,NULL,NULL,NULL,NULL,Varies by cask,NULL,https://www.englishwhisky.co.uk/collections/single-cask-1,2026-06-26,http://www.englishwhisky.co.uk/cdn/shop/files/logo.svg,world_whiskey_england
World Whiskey,White Peak Distillery,"Ambergate, England",Wire Works,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Caduro,NAS,NULL,NULL,93.6,46.8,NULL,Ex-bourbon; STR ex-red wine barrique (French oak),NULL,https://www.whitepeakdistillery.co.uk/product/wire-works-whisky-caduro/,2026-06-26,https://www.whitepeakdistillery.co.uk/wp-content/uploads/2023/03/White-Peak-Distillery_Packshot_Straight-on_Whisky_Caduro_2026_Full-Res-e1774363323929.png,world_whiskey_england
World Whiskey,White Peak Distillery,"Ambergate, England",Wire Works,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Bourbon Barrel,NAS,NULL,NULL,106.8,53.4,NULL,Ex-bourbon (Heaven Hill),NULL,https://www.whitepeakdistillery.co.uk/product/wire-works-whisky-bourbon-barrel/,2026-06-26,https://www.whitepeakdistillery.co.uk/wp-content/uploads/2024/07/White-Peak-Distillery_Packshot_Straight-on_Whisky_Bourbon-Barrel_2026_Full-Res-e1774363038398.png,world_whiskey_england
World Whiskey,White Peak Distillery,"Ambergate, England",Wire Works,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Port Cask,NAS,NULL,NULL,NULL,NULL,NULL,Port cask,NULL,https://www.whitepeakdistillery.co.uk/product/wire-works-whisky-port-cask/,2026-06-26,https://www.whitepeakdistillery.co.uk/wp-content/uploads/2025/10/White-Peak-Distillery_Packshot_Straight-on_Whisky_Port-Cask_2026_Full-Res-e1774363460115.png,world_whiskey_england
World Whiskey,White Peak Distillery,"Ambergate, England",Wire Works,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Caduro X,NAS,NULL,NULL,NULL,NULL,NULL,Ex-bourbon; STR ex-red wine barrique,NULL,https://www.whitepeakdistillery.co.uk/product/wire-works-caduro-x/,2026-06-26,https://www.whitepeakdistillery.co.uk/wp-content/uploads/2026/04/CADURO-X-2025.png,world_whiskey_england
