spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,Slyrs Distillery,"Schliersee, Germany",Slyrs,own_make,NULL,FALSE,FALSE,Single Malt,NAS,NULL,NULL,86,43.0,NULL,American white oak,NULL,"Bavarian Single Malt; soft vanilla, fine caramel and gentle spice",https://slyrs.com/en/whisky/classics/;https://www.masterofmalt.com/distilleries/slyrs-whisky-distillery/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,Slyrs Distillery,"Schliersee, Germany",Slyrs,own_make,NULL,FALSE,FALSE,Single Malt,12 Years,NULL,NULL,86,43.0,NULL,American white oak,NULL,12-year-old Bavarian Single Malt; special malting barley from north Bavaria,https://www.whisky.de/shop/en/product/Slyrs-12-Years.html;https://slyrs.com/,2026-06-26,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SLYRS1203_1.jpg,world_whiskey_germany
World Whiskey,Slyrs Distillery,"Schliersee, Germany",Slyrs,own_make,NULL,FALSE,FALSE,Single Malt; Pedro Ximénez Cask Finish,NAS,NULL,NULL,92,46.0,NULL,American white oak,Pedro Ximénez Sherry (9 months),"Plums, berries, spice and raisins from 9-month PX Sherry finish",https://slyrs.com/en/shop/slyrs-whisky-pedro-ximenez-46-vol/;https://slyrs.com/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,Slyrs Distillery,"Schliersee, Germany",Slyrs,own_make,NULL,FALSE,FALSE,Grain Whisky; Bavarian Rye,NAS,NULL,NULL,82,41.0,High-proportion rye + other grains,Oak casks,NULL,Spicy grain-forward profile; rye grown in the Bavarian Alps foothills,https://slyrs.com/en/slyrs-rye-whisky/;https://www.masterofmalt.com/distilleries/slyrs-whisky-distillery/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Signature Edition One,NAS,NULL,One,90,45.0,NULL,NULL,NULL,NULL,https://www.stkiliandistillers.com/;https://www.masterofmalt.com/distilleries/st-kilian/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Signature Edition Two; Amarone,NAS,NULL,Two,108.4,54.2,NULL,NULL,Ex-Amarone wine cask,NULL,https://www.stkiliandistillers.com/;https://www.masterofmalt.com/distilleries/st-kilian/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Signature Edition Three; Peated,NAS,NULL,Three,100,50.0,NULL,NULL,NULL,NULL,https://www.stkiliandistillers.com/;https://www.masterofmalt.com/distilleries/st-kilian/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Signature Edition Four; Oloroso and PX,NAS,NULL,Four,96,48.0,NULL,NULL,Oloroso and Pedro Ximénez Sherry,NULL,https://www.stkiliandistillers.com/;https://www.masterofmalt.com/distilleries/st-kilian/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Signature Edition Six,NAS,NULL,Six,95,47.5,NULL,NULL,NULL,NULL,https://www.stkiliandistillers.com/;https://www.masterofmalt.com/distilleries/st-kilian/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Signature Edition Seven; Sherry,NAS,NULL,Seven,103.4,51.7,NULL,NULL,Sherry cask,NULL,https://www.stkiliandistillers.com/;https://www.masterofmalt.com/distilleries/st-kilian/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Signature Edition Nine,NAS,NULL,Nine,110.6,55.3,NULL,NULL,NULL,Whiskies from 2016-2018 vintages,https://www.finedrams.com/st-kilian-signature-edition-nine-whisky.html;https://www.stkiliandistillers.com/,2026-06-26,https://d1wd5rt8ssn8ry.cloudfront.net/image/68988-large-1668301838/st-kilian-signature-edition-nine-whisky.jpg,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Signature Edition Thirteen,NAS,NULL,Thirteen,107.8,53.9,NULL,NULL,NULL,NULL,https://mydrinx.shop/products/st-kilian-signature-edition-thirteen-single-malt-whisky-53-9-vol-0-05l;https://www.stkiliandistillers.com/,2026-06-26,http://mydrinx.shop/cdn/shop/products/06cd637fcc3e7815d09c7fc6c49ffeccb5164bae7dee0c21cd8f807d451c0d1e.jpg,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Peated; Signature Edition Fifteen; Amarone,NAS,2025,Fifteen,106.6,53.3,Scottish peated malt (80 ppm phenol),NULL,Ex-Amarone wine cask (Lenotti winery),Peated spirit matured 3yr in Amarone casks; released February 2025,https://spiritory.com/news/st-kilian-signature-edition-fifteen-a-peated-masterpiece-in-amarone-casks-en;https://www.stkiliandistillers.com/,2026-06-28,NULL,world_whiskey_germany
World Whiskey,St. Kilian Distillers,"Rüdenau, Germany",St. Kilian,own_make,NULL,FALSE,TRUE,Single Malt; Cask Strength; Signature Edition,NAS,NULL,NULL,NULL,NULL,NULL,Varies by edition (170+ cask types),NULL,Ongoing numbered signature series; individual ABV and cask per edition,https://www.stkiliandistillers.com/single-malt-whisky/special-bottlings/,2026-06-26,NULL,world_whiskey_germany
World Whiskey,Spreewood Distillers,"Schlepzig, Germany",Stork Club,own_make,NULL,FALSE,FALSE,Class TBD; Straight Rye,NAS,NULL,NULL,90,45.0,100% German rye,First Fill American Oak; German Napoleon Oak,NULL,First rye whisky made in Germany; rye from Brandenburg fields; pot still distilled,https://shop.stork-club-whiskey.com/en;https://cluboenologique.com/product/spreewood-distillers-stork-club-straight-rye-german-whisky/,2026-06-26,https://cdn.cluboenologique.com/wp-content/uploads/2020/08/12150310/stork.jpg,world_whiskey_germany
World Whiskey,Hammerschmiede,"Zorge, Germany",Elsburn,own_make,NULL,FALSE,FALSE,Single Malt; The Journey,NAS,NULL,NULL,86,43.0,NULL,Sherry; Port; Marsala; Madeira; Malaga; Bordeaux casks,NULL,Annual vintage release; fruity and spicy character; 6 cask types,https://www.hammerschmiede-shop.de/;https://whiskyexperts.net/the-glen-els-wird-zu-elsburn/,2026-06-26,https://i2.wp.com/whiskyexperts.net/wp-content/uploads/2019/09/Elsburn_bg.jpg,world_whiskey_germany
World Whiskey,Hammerschmiede,"Zorge, Germany",Elsburn,own_make,NULL,FALSE,FALSE,Single Malt; Distillery Edition; Sherry,NAS,NULL,NULL,91.8,45.9,NULL,Sherry cask,NULL,NULL,https://www.hammerschmiede-shop.de/;https://www.whiskybase.com/whiskies/whisky/139794/glen-els-the-distillery-edition,2026-06-26,NULL,world_whiskey_germany
World Whiskey,Hammerschmiede,"Zorge, Germany",Elsburn,own_make,NULL,FALSE,TRUE,Single Malt; Single Cask,NAS,NULL,NULL,NULL,NULL,NULL,Varies by cask,NULL,NULL,https://www.hammerschmiede-shop.de/,2026-06-26,NULL,world_whiskey_germany
