spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt,NAS,,,92.0,46.0,100% malted barley,Ex-bourbon barrel,,,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-46-duplicate/,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt; Cask Strength,NAS,,,123.6,61.8,100% malted barley,Ex-bourbon barrel,,,https://amrutdistilleries.com/amrut-indian-singlemalt-whisky-caskstrength-61-8/,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt; Fusion,NAS,,,100.0,50.0,Indian unpeated malted barley + Scottish peated malted barley,Ex-bourbon barrel,,,https://amrutdistilleries.com/amrut-fusion-singlemalt-whisky-50-duplicate/,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt; Fusion; Fusion X,NAS,,,100.0,50.0,Indian unpeated malted barley + Scottish peated malted barley,Ex-bourbon barrel,,,https://amrutdistilleries.com/amrut-fusion-x-single-malt-whisky-50-duplicate/,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt; Fusion; Fusion XI,NAS,,,100.0,50.0,Indian unpeated malted barley + Scottish peated malted barley,Ex-bourbon barrel,,,https://amrutdistilleries.com/amrut-fusion-xi-single-malt-whisky-50-duplicate/,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt; Peated,NAS,,,92.0,46.0,100% peated malted barley,Ex-bourbon barrel,,,https://amrutdistilleries.com/amrut-peated-indiansingle-malt-whisky-46/,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt; Peated; Cask Strength,NAS,,,125.6,62.8,100% peated malted barley,Ex-bourbon barrel,,,https://amrutdistilleries.com/amrut-peated-indian-single-malt-whisky-cask-strength-62-8-duplicate/,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt; 100 PPM Peated,NAS,,,114.2,57.1,100% heavily peated malted barley,Ex-bourbon barrel,,,https://amrutdistilleries.com/amrut-100-peated-single-malt-whisky-57-1-duplicate/,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,blended,,FALSE,FALSE,Blended Malt; Multi-Origin,NAS,,,85.6,42.8,,,,Nose: tropical fruits; honey; vanilla; subtle oak. Palate: caramel; malt; ripe fruit; touch of spice.,https://amrutdistilleries.com/amrut-amalgam-malt-whiskey/; https://www.whiskybase.com/whiskies/whisky/175419/amrut-amalgam,2026-06-26,NULL,world_whiskey_india
World Whiskey,Amrut Distilleries,"Bangalore, Karnataka",Amrut,own_make,,FALSE,FALSE,Single Malt; Intermediate Sherry,NAS,,,114.2,57.1,100% malted barley,Ex-bourbon barrel,Oloroso sherry butt,,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-intermediate-sherry-57-1-duplicate/,2026-06-26,NULL,world_whiskey_india
