spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,The Nikka Whisky Distilling Co.,Japan,Nikka From the Barrel,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,,51.4,,,,"Marriage of 100+ malt and grain whiskies (Nikka Japanese malt + Coffey grain + Ben Nevis new make); 500ml. Contains Scottish (Ben Nevis) distillate, so does not meet JSLMA Japanese whisky criteria -> World Whiskey per D6.",https://www.nikka.com/en/brands/fromthebarrel/; https://www.masterofmalt.com/blog/post/new-regulations-mean-that-nikka-from-the-barrel-is-not-a-japanese-whisky.aspx/,2026-06-26,NULL,world_whiskey_japan
World Whiskey,The Nikka Whisky Distilling Co.,Japan,Super Nikka,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,,43,,,,"Classic blended whisky born 1962; gentle peat, vanilla and sherry. Nikka states it does not meet JSLMA Japanese whisky criteria (foreign distillate) -> World Whiskey per D6.",https://www.nikka.com/en/brands/supernikka/,2026-06-06,https://www.nikka.com/en/brands/supernikka/img/bottle_supernikka.webp,world_whiskey_japan
World Whiskey,The Nikka Whisky Distilling Co.,Japan,Nikka Days,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,,40,,,,"Light, floral everyday blend of mellow grain and lightly peated malts. Nikka states it does not meet JSLMA Japanese whisky criteria -> World Whiskey per D6.",https://www.nikka.com/en/brands/nikkadays/,2026-06-06,https://www.nikka.com/en/brands/nikkadays/img/bottle_nikkadays.webp,world_whiskey_japan
World Whiskey,The Nikka Whisky Distilling Co.,Japan,The Nikka Tailored,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,,43,,,,Malt-led blend with Coffey grain softness; from The Nikka line (introduced 2014 with the 40yo). Nikka states it does not meet JSLMA Japanese whisky criteria -> World Whiskey per D6.,https://www.nikka.com/en/brands/thenikka/,2026-06-06,https://www.nikka.com/en/brands/thenikka/img/bottle_thenikka.webp,world_whiskey_japan
World Whiskey,Nikka Miyagikyo Distillery (Coffey stills),Japan,Nikka Coffey Malt,blended,,FALSE,FALSE,Grain Whisky; Multi-Origin,NAS,,,,45,100% malted barley,,,"100% malted barley distilled in a Coffey still (legally a grain whisky, not malt). Some older batches used Ben Nevis distillate re-distilled in Nikka's Coffey stills; Nikka states it does not meet JSLMA Japanese whisky criteria -> World Whiskey per D6.",https://www.nikka.com/en/brands/coffey-grain-malt/,2026-06-06,https://www.nikka.com/en/brands/coffey-grain-malt/img/bottle_coffey-malt.webp,world_whiskey_japan
World Whiskey,The Nikka Whisky Distilling Co.,Japan,The Nikka Nine Decades,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin; 90th Anniversary,NAS,2024,,,48,,,,"90th-anniversary world blended whisky (bottled 2024) from 50+ components spanning Yoichi 1940s, early-1970s Miyagikyo and Ben Nevis (Scotland). Explicitly a World Blended Whisky.",https://www.bbr.com/products-10008308029-the-nikka-nine-decades-90th-anniversary-bottled-2024-blended-whisky-japan-48%25; https://whiskyupdates.com/the-nikka-nine-decades-whisky-celebrates-90th-anniversary/,2026-06-26,https://whiskyupdates.com/wp-content/uploads/2024/06/1dc82064af960a9a420b13e965fbe8b7.jpg,world_whiskey_japan
World Whiskey,The Nikka Whisky Distilling Co.,Japan,Black Nikka Clear,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,,40,,,,"Domestic-market budget blend; refreshing, mellow. Imported components -> not JSLMA-compliant -> World Whiskey per D6.",https://www.finedrams.com/nikka-black-clear-whisky.html,2026-06-26,https://d1wd5rt8ssn8ry.cloudfront.net/image/68960-large-1668301457/nikka-black-clear-whisky.jpg,world_whiskey_japan
World Whiskey,The Nikka Whisky Distilling Co.,Japan,Black Nikka Special,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,,42,,,,Domestic-market blend first created 1965; 720ml. Imported components -> not JSLMA-compliant -> World Whiskey per D6.,https://manila-wine.com/nikka-black-special-blended-japanese-whisky,2026-06-28,NULL,world_whiskey_japan
World Whiskey,The Nikka Whisky Distilling Co.,Japan,Black Nikka Rich Blend,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,,,,,,Domestic-market blend; gorgeous aroma and mellow richness; sherry-cask malt component. Imported components -> not JSLMA-compliant -> World Whiskey per D6. (ABV unconfirmed - see followup.),https://www.whisky.com/whisky-database/details/nikka-black-rich-blend.html,2026-06-06,,world_whiskey_japan
World Whiskey,The Nikka Whisky Distilling Co.,Japan,Black Nikka Deep Blend,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,,45,,,,"Domestic-market blend; rich, firm, gently smoky. Imported components -> not JSLMA-compliant -> World Whiskey per D6.",https://whisky-nights.com/nikka-black-deep-blend/,2026-06-26,https://whisky-nights.com/wp-content/uploads/2024/07/nikka-black-deep-blend.webp,world_whiskey_japan
World Whiskey,Chichibu Distillery,"Chichibu, Saitama, Japan",Ichiro's Malt & Grain,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin; White Label,NAS,,,93,46.5,,,,Chichibu malt + malt & grain sourced from Scotland/Canada/US/Ireland; not JSLMA-compliant -> World Whiskey per D6.,https://www.blackwellswines.com/products/ichiros-malt-grain-cask-strength-world-whisky-by-the-chichibu-distillery; https://www.whiskymarketplace.com/whiskies/ichiros-malt-grain-premium-chichibu-japanese-blended-whisky,2026-06-26,http://www.blackwellswines.com/cdn/shop/files/Ichiro_s_Malt_Grain_111_Proof_World_Whisky_By_the_Chichibu_Distillery_600x.jpg,world_whiskey_japan
World Whiskey,Chichibu Distillery,"Chichibu, Saitama, Japan",Ichiro's Malt & Grain,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin; Cask Strength,NAS,,,111,55.5,,,,World blend at cask strength (111 proof); not JSLMA-compliant -> World Whiskey per D6.,https://www.blackwellswines.com/products/ichiros-malt-grain-cask-strength-world-whisky-by-the-chichibu-distillery; https://www.whiskymarketplace.com/whiskies/ichiros-malt-grain-premium-chichibu-japanese-blended-whisky,2026-06-26,http://www.blackwellswines.com/cdn/shop/files/Ichiro_s_Malt_Grain_111_Proof_World_Whisky_By_the_Chichibu_Distillery_600x.jpg,world_whiskey_japan
World Whiskey,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Mars Maltage Cosmo,blended,,FALSE,FALSE,Blended Malt; Multi-Origin,NAS,,,86,43,,,,Japanese + imported malt blend; not JSLMA-compliant -> World Whiskey per D6.,https://www.uisuki.com/en/mars-whisky; https://www.highroadspirits.com/mars,2026-06-26,NULL,world_whiskey_japan
World Whiskey,Mars Shinshu Distillery,"Miyada, Nagano, Japan",Mars Kasei,blended,,FALSE,FALSE,Blended Whisky; Multi-Origin,NAS,,,80,40,,,,World blend; not JSLMA-compliant -> World Whiskey per D6.,https://www.uisuki.com/en/mars-whisky; https://www.highroadspirits.com/mars,2026-06-26,NULL,world_whiskey_japan
