spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Blended Whisky,NAS,NULL,NULL,86.0,43.0,NULL,American oak,NULL,NULL,https://distiller.com/spirits/three-ships-select-whisky; https://craft-cask.com/profile/three-ships-whisky,2026-06-28,NULL,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Blended Whisky; 5 Year,5 Years,NULL,NULL,86.0,43.0,NULL,American oak,NULL,NULL,https://craft-cask.com/profile/three-ships-5-year; https://en.wikipedia.org/wiki/Three_Ships,2026-06-26,https://framerusercontent.com/images/5kUEfbN5haFnfXMjWDJw4s9llGI.png,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Blended Whisky; Bourbon Cask Finish,NAS,NULL,NULL,86.0,43.0,NULL,Ex-bourbon,NULL,NULL,https://store.jamessedgwickdistillery.co.za/products/three-ships-bourbon-cask; https://www.bizcommunity.com/Article/196/162/237276.html,2026-06-26,NULL,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Single Malt; 10 Year,10 Years,NULL,NULL,92.6,46.3,Malted barley 100%,American oak,NULL,NULL,https://whiskeyreviewer.com/2025/12/three-ships-10-year-old-single-malt-whisky-review-120925/; https://en.wikipedia.org/wiki/Three_Ships,2026-06-26,NULL,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Single Malt; 12 Year,12 Years,NULL,NULL,92.6,46.3,Malted barley 100%,Ex-American whiskey cask,NULL,NULL,https://www.masterofmalt.com/whiskies/james-sedgwick-distillery/three-ships-12-year-old-whisky/; https://en.wikipedia.org/wiki/Three_Ships,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/53217_source_1778164938.jpg,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Blended Whisky; Fino Cask Finish; Masters Collection 4th Edition,9 Years,NULL,NULL,97.2,48.6,NULL,American oak,Ex-Fino sherry,NULL,https://www.whiskybrother.com/products/three-ships-9-year-old-fino-finish-south-african-whisky; https://www.ontherocksza.com/products/three-ships-9-year-old-fino-cask-finish,2026-06-26,http://www.whiskybrother.com/cdn/shop/products/three-ships-9yo-fino-finish.jpg,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Single Malt; Shiraz Cask Finish; Masters Collection 5th Edition,11 Years,NULL,NULL,102.8,51.4,Malted barley 100%,American oak,Ex-Shiraz,NULL,https://store.jamessedgwickdistillery.co.za/products/three-ships-whisky-11yo-single-malt-shiraz-cask-finish-1; https://michaelolivier.co.za/archives/three-ships-whisky-launches-fifth-limited-edition-masters-collection-an-11-year-old-special-shiraz-cask-finish/,2026-06-26,NULL,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Blended Whisky; Double Wood; Masters Collection 6th Edition,12 Years,NULL,NULL,99.2,49.6,NULL,American oak,Seasoned Amontillado sherry,NULL,https://www.worldwhiskiesawards.com/winner-whisky/worlds-best-blended-limited-release-50252-world-whiskies-awards-2024; https://wildaboutwhisky.com/product/three-ships-double-wood-12/,2026-06-26,https://wildaboutwhisky.com/wp-content/uploads/media/4868.jpg,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Grain Whisky; Chenin Blanc Cask Finish; Masters Collection 7th Edition,6 Years,NULL,NULL,92.6,46.3,NULL,American oak,Ex-Chenin Blanc wine,NULL,https://www.whiskybrother.com/products/three-ships-6-year-old-chenin-blanc-finish-south-african-whisky; https://www.businesslive.co.za/lifestyle/2023-02-13-native-three-ships-whisky-6yo-chenin-blanc-cask-finish-this-limited-edition-is-an-unmissable-african-first/,2026-06-26,http://www.whiskybrother.com/cdn/shop/products/Three-Ships-6-Year-Old-Chenin-Blanc-Finish.jpg,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Three Ships,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Cape Ruby Cask Finish; Masters Collection 8th Edition,13 Years,NULL,NULL,107.2,53.6,Malted barley 100%,American oak,Seasoned Cape Ruby,NULL,https://www.bizcommunity.com/article/three-ships-whisky-launches-a-13-year-old-single-malt-cape-ruby-cask-finish-784462a; https://malt-review.com/2024/06/28/three-ships-cape-ruby-cask-finish-13-years/,2026-06-28,NULL,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Bain's,own_make,NULL,FALSE,FALSE,Grain Whisky,NAS,NULL,NULL,80.0,40.0,Yellow maize 100%,American oak,NULL,NULL,https://www.masterofmalt.com/whiskies/james-sedgewick-distillery/bains-cape-mountain-whisky/; https://en.wikipedia.org/wiki/Bain's_Cape_Mountain_Whisky,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/20581_source_1778008229.jpg,world_whiskey_south_africa
World Whiskey,James Sedgwick Distillery,"Wellington, South Africa",Bain's,own_make,NULL,FALSE,FALSE,Grain Whisky; 15 Year; Founders Collection,15 Years,NULL,NULL,105.0,52.5,Yellow maize 100%,American oak,NULL,NULL,https://store.jamessedgwickdistillery.co.za/products/bains-cape-mountain-whisky-founders-collection-15-year-old; https://www.whiskybrother.com/products/bains-15-year-old-founders-collection-south-african-whisky,2026-06-26,NULL,world_whiskey_south_africa
