spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt,NAS,,,80.0,40.0,100% malted barley,Ex-bourbon barrel,,,https://www.kavalanwhisky.com/en/product/index.html; https://www.masterofmalt.com/distilleries/kavalan-whisky/,2026-06-26,NULL,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt; Distillery Select No. 1,NAS,,,80.0,40.0,100% malted barley,Ex-bourbon barrel,,,https://www.kavalanwhisky.com/en/product/index.html; https://thewhiskeywash.com/?p=132007,2026-06-26,NULL,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt; Podium,NAS,,,92.0,46.0,100% malted barley,Ex-bourbon barrel + sherry cask (multi-cask),,,https://www.kavalanwhisky.com/en/product/index.html; https://www.masterofmalt.com/distilleries/kavalan-whisky/,2026-06-26,NULL,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt; King Car Conductor,NAS,,,92.0,46.0,100% malted barley,Multiple oak cask types (blended),,,https://www.kavalanwhisky.com/en/product/index.html; https://alcoholpleasehk.com/en/blogs/information/kavalan-whisky-taiwan-guide,2026-06-26,https://alcoholpleasehk.com/cdn/shop/articles/kavalan-1942905.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt; Concertmaster; Port Cask Finish,NAS,,,80.0,40.0,100% malted barley,Ex-bourbon barrel,Port cask (Tawny + Ruby + Vintage),,https://www.htfw.com/kavalan-concertmaster-port-cask-finish-single-malt-taiwanese-whisky; https://www.masterofmalt.com/whiskies/kavalan/kavalan-concertmaster-port-cask-finish-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/32533_source_1782132646.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt; Triple Sherry Cask,NAS,,,86.0,43.0,100% malted barley,Three sherry cask types,,,https://www.fredminnick.com/2026/01/12/kavalan-releases-year-of-the-horse-triple-sherry-cask-gift-set/; https://alcoholpleasehk.com/en/blogs/information/kavalan-whisky-taiwan-guide,2026-06-26,https://www.fredminnick.com/wp-content/uploads/2026/01/Kavalan-Year-of-the-Horse-2026-gift-set.jpeg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt; Sherry Oak,NAS,,,92.0,46.0,100% malted barley,Sherry cask,,,https://www.unclefossil.com/kavalan-sherry-oak-single-malt-taiwan-whisky-46-al.html; https://www.houseofmalt.co.uk/product/kavalan-sherry-oak-single-malt-whisky/,2026-06-26,https://www.houseofmalt.co.uk/wp-content/uploads/2018/06/Kavalan-Sherry-Oak-1.png,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt; Lán,NAS,,,86.0,43.0,100% malted barley,Ex-bourbon barrel + port cask + STR Vinho wine cask,,[MoM] Nose: citrus blossom; floral tea; vanilla pods; chocolatey malt; candied nuts. Palate: biscuity malt; forest fruits; cinnamon; chocolate-coated cherries; hazelnut cream. Finish: dark spices; caramelised nuts; vinous oak; pepper.,https://www.masterofmalt.com/whiskies/kavalan/kavalan-lan-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/36712_source_1780572037.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,FALSE,Single Malt; 15 Years Old; Four-Cask Matured,15 Years,2025,,86.0,43.0,100% malted barley,Ex-bourbon barrel + oloroso sherry cask + ruby port cask + puncheon,,,https://caskcartel.com/products/kavalan-15-year-old-four-cask-matured-single-malt-whisky-2025-limited-edition-700ml; https://www.thespiritsbusiness.com/2025/03/kavalan-unveils-its-first-age-statement-whisky/,2026-06-26,http://caskcartel.com/cdn/shop/files/22_f8f915b6-127b-4cb6-abc1-e10253f705a4.png,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Vinho Barrique,NAS,,,,,100% malted barley,,Vinho Barrique (wine cask),,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3; https://www.caskers.com/kavalan-solist-vinho-barrique-cask-strength-single-malt-whisky/,2026-06-26,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/k/a/kavalan-solist-vinho-barrique-cask-strength-single-malt-whisky-1_1.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Ex-Bourbon,NAS,,,,,100% malted barley,Ex-bourbon barrel,,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3,2026-06-26,https://www.kavalanwhisky.com/og_image.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Ex-Sherry (Oloroso),NAS,,,,,100% malted barley,,Oloroso sherry cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3,2026-06-26,https://www.kavalanwhisky.com/og_image.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Port,NAS,,,,,100% malted barley,,Port cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3; https://whiskyanalysis.com/index.php/2020/11/09/kavalan-solist-port-cask/,2026-06-26,NULL,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Fino,NAS,,,,,100% malted barley,,Fino sherry cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3,2026-06-26,https://www.kavalanwhisky.com/og_image.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Amontillado,NAS,,,,,100% malted barley,,Amontillado sherry cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3,2026-06-26,https://www.kavalanwhisky.com/og_image.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Manzanilla,NAS,,,,,100% malted barley,,Manzanilla sherry cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3,2026-06-26,https://www.kavalanwhisky.com/og_image.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist PX (Pedro Ximénez),NAS,,,,,100% malted barley,,PX sherry cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3,2026-06-26,https://www.kavalanwhisky.com/og_image.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Palo Cortado,NAS,,,,,100% malted barley,,Palo Cortado sherry cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3; https://www.thespiritsbusiness.com/2025/02/kavalan-unveils-solist-palo-cortado/,2026-06-28,NULL,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Ex-Brandy,NAS,,,,,100% malted barley,,Ex-brandy cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3,2026-06-26,https://www.kavalanwhisky.com/og_image.jpg,world_whiskey_taiwan
World Whiskey,King Car Distillery (Kavalan),"Yilan, Taiwan",Kavalan,own_make,,FALSE,TRUE,Single Malt; Single Cask; Solist Moscatel,NAS,,,,,100% malted barley,,Moscatel sherry cask,,https://www.kavalanwhisky.com/en/product.php?act=list&cid=3,2026-06-26,https://www.kavalanwhisky.com/og_image.jpg,world_whiskey_taiwan
World Whiskey,Nantou Distillery (TTL),"Nantou City, Taiwan",Omar,own_make,,FALSE,FALSE,Single Malt; Bourbon Cask,NAS,,,92.0,46.0,100% malted barley,Ex-bourbon barrel (with small ex-sherry component),,Nose: sweet; malt; flora; tropical fruit; dried mango; pineapple. Palate: sweet vanilla; delicate flower. Finish: medium; sweet.,https://omarwhisky.com.tw/en/product_info.aspx?id=39,2026-06-26,NULL,world_whiskey_taiwan
World Whiskey,Nantou Distillery (TTL),"Nantou City, Taiwan",Omar,own_make,,FALSE,FALSE,Single Malt; Sherry Cask,NAS,,,92.0,46.0,100% malted barley,Ex-sherry cask,,Nose: longan honey; ripened mango and banana; raisin; plum preserves; citrus; apple. Palate: sweet; rich fruity. Finish: long; dry fruit; orange cake.,https://omarwhisky.com.tw/en/product_info.aspx?id=38,2026-06-26,NULL,world_whiskey_taiwan
