spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Madeira Finish,NAS,NULL,NULL,92,46.0,NULL,Ex-bourbon,Ex-Madeira wine cask,"Cream toffee, rich fruit and raisins on nose; crisp and finely rounded palate; tropical fruit and vanilla finish",https://www.penderyn.wales/product/penderyn-madeira/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/02/Penderyn-Madeira.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Peated,NAS,NULL,NULL,92,46.0,NULL,Ex-bourbon,NULL,Sweet aromatic smoke with vanilla and green apple; gentle smoke and vanilla on finish; peated malt,https://www.penderyn.wales/product/penderyn-peated/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/03/peated-4.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Sherrywood,NAS,NULL,NULL,92,46.0,NULL,Ex-bourbon,Ex-Oloroso Sherry,Dark fruit and rich toffee with green apples and hazelnuts; rich sweetness and toffee on finish,https://www.penderyn.wales/product/penderyn-sherrywood/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/03/Slide7.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Rich Oak,NAS,NULL,NULL,92,46.0,NULL,Ex-bourbon,Virgin oak (Rich Oak),NULL,https://www.penderyn.wales/product/penderyn-rich-oak/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/03/Slide6.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Portwood,NAS,NULL,NULL,92,46.0,NULL,Ex-bourbon,Port pipe,NULL,https://www.penderyn.wales/product/penderyn-portwood/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/03/Slide5.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn Club,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Club Members,NAS,NULL,NULL,100,50.0,NULL,Ex-bourbon,Ex-Tawny Port,NULL,https://www.penderyn.wales/product/penderyn-club-members-whisky/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/02/CM.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Legend; Madeira Finish,NAS,NULL,NULL,82,41.0,NULL,Ex-bourbon,Ex-Madeira wine cask,NULL,https://www.penderyn.wales/product/penderyn-legend/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/03/PenderynLegend23Store.png,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Myth; Bourbon Cask,NAS,NULL,NULL,82,41.0,NULL,Ex-bourbon,NULL,NULL,https://www.penderyn.wales/product/penderyn-myth/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/03/PenderynMyth23Store.png,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Celt,NAS,NULL,NULL,82,41.0,NULL,Ex-bourbon,NULL,Peated malt expression in the Dragon range,https://www.penderyn.wales/product/penderyn-celt/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2021/03/PenderynCelt23Store.png,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Icons of Wales #9; The Headliner,NAS,NULL,#9,92,46.0,NULL,Jamaican Rum cask; Ruby Port cask,NULL,NULL,https://www.penderyn.wales/product/penderyn-the-headliner/;https://www.masterofmalt.com/whiskies/penderyn/penderyn-the-headliner-icons-of-wales-whisky/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2022/08/headliner.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Icons of Wales #12; Copperopolis,NAS,NULL,#12,92,46.0,NULL,Ex-bourbon,Sweet Red Wine cask,NULL,https://www.penderyn.wales/product/penderyn-icons-of-wales-12-copperopolis/;https://whiskyunplugged.com/2026/03/01/tasting-notes-penderyn-copperopolis-icons-of-wales-no-12/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2025/03/Copperopolis-product-1.png,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Icons of Wales #13; Bad Wolf,10 Years,NULL,#13,92,46.0,NULL,Ex-bourbon,Tawny Port pipe,NULL,https://www.penderyn.wales/product/penderyn-icons-of-wales-13-bad-wolf/;https://www.htfw.com/penderyn-icons-of-wales-13-bad-wolf-10-year-old-whisky,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2025/10/BAD-WOLF-WEBSITE.png,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Icons of Wales #14; The Village,NAS,NULL,#14,92,46.0,NULL,Ex-bourbon,Ex-Amarone wine cask,NULL,https://www.penderyn.wales/product/penderyn-icons-of-wales-14-the-village-70cl/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2026/01/The-Village-1.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Single Cask; 25 Year Old Barrel Number 1,25 Years,2000,Cask Ref. 1/2000,NULL,NULL,NULL,NULL,NULL,First cask ever filled at Penderyn Distillery; cask reference 1/2000; reserve list only; £1200,https://www.penderyn.wales/product/penderyn-25-year-old-whisky-barrel-number-1-cask-ref-1-2000-70cl/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2026/01/25-1.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Single Cask; Ex-Tawny Port (Finland),NAS,NULL,NULL,NULL,NULL,NULL,Ex-bourbon,Ex-Tawny Port,NULL,https://www.penderyn.wales/product/penderyn-ex-tawny-port-single-cask-finland-70cl/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2025/02/IMG_1055-scaled.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Small Batch; Sherrywood (France),NAS,NULL,NULL,NULL,NULL,NULL,Ex-bourbon,Ex-Oloroso Sherry,NULL,https://www.penderyn.wales/product/penderyn-sherrywood-small-batch-france-70cl/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2025/02/IMG_1068-scaled.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Faraday; Travel Retail Exclusive,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.penderyn.wales/product/penderyn-faraday-travel-retail-exclusive-70cl/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2023/11/FaradayBoxBottle_HR-scaled.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,FALSE,Single Malt; Small Batch; Ex-Rye,NAS,NULL,NULL,NULL,NULL,NULL,Ex-bourbon,Ex-rye whiskey cask,NULL,https://www.penderyn.wales/product/ex-rye-small-batch/,2026-06-26,https://www.penderyn.wales/wp-content/uploads/2022/01/ExRye-Image.jpg,world_whiskey_wales
World Whiskey,Penderyn Distillery,"Brecon, Wales",Penderyn,own_make,NULL,FALSE,TRUE,Single Malt; Single Cask,NAS,NULL,NULL,NULL,NULL,NULL,Varies by cask,NULL,NULL,https://www.penderyn.wales/shop-whiskey/,2026-06-26,NULL,world_whiskey_wales
